wnid,mean_drift,spillover_rate,n_par,model
n02206856,0.2964326739311218,0.3,40,resnet101
n02219486,0.23783907294273376,0.15,40,resnet101
n02226429,0.2573012709617615,0.375,40,resnet101
n02229544,0.32126426696777344,0.275,40,resnet101
n02231487,0.35809603333473206,0.225,40,resnet101
n02233338,0.400496244430542,0.325,40,resnet101
n02236044,0.3576210141181946,0.275,40,resnet101
n02256656,0.29266995191574097,0.175,40,resnet101
n02259212,0.24622884392738342,0.175,40,resnet101
n02264363,0.2671580910682678,0.1,40,resnet101
n02268443,0.36043745279312134,0.4,40,resnet101
n02268853,0.19653289020061493,0.075,40,resnet101
n02276258,0.21102266013622284,0.125,40,resnet101
n02277742,0.23931586742401123,0.125,40,resnet101
n02279972,0.15038728713989258,0.025,40,resnet101
n02280649,0.22018063068389893,0.1,40,resnet101
n02281406,0.13515333831310272,0.025,40,resnet101
n02281787,0.22004365921020508,0.225,40,resnet101
n02317335,0.2928522229194641,0.125,40,resnet101
n02319095,0.31133121252059937,0.225,40,resnet101
n02321529,0.35997891426086426,0.225,40,resnet101
n02325366,0.19297385215759277,0.075,40,resnet101
n02326432,0.2322610318660736,0.25,40,resnet101
n02328150,0.2905983328819275,0.175,40,resnet101
n02342885,0.31184443831443787,0.25,40,resnet101
n02346627,0.3121001422405243,0.25,40,resnet101
n02356798,0.2511221766471863,0.15,40,resnet101
n02361337,0.3240841031074524,0.2,40,resnet101
n02363005,0.27596622705459595,0.15,40,resnet101
n02364673,0.3534412384033203,0.2,40,resnet101
n02389026,0.23210351169109344,0.1,40,resnet101
n02391049,0.15195509791374207,0.0,40,resnet101
n02395406,0.3531951904296875,0.275,40,resnet101
n02396427,0.3062683939933777,0.175,40,resnet101
n02397096,0.3058147430419922,0.1,40,resnet101
n02398521,0.3905255198478699,0.3,40,resnet101
n02403003,0.3426664471626282,0.625,40,resnet101
n02408429,0.34453636407852173,0.275,40,resnet101
n02410509,0.28687238693237305,0.05,40,resnet101
n02412080,0.231461763381958,0.425,40,resnet101
n02415577,0.28278642892837524,0.05,40,resnet101
n02417914,0.261533260345459,0.025,40,resnet101
n02422106,0.22706905007362366,0.05,40,resnet101
n02422699,0.32762259244918823,0.25,40,resnet101
n02423022,0.2132301777601242,0.15,40,resnet101
n02437312,0.330779105424881,0.25,40,resnet101
n02437616,0.3144221901893616,0.25,40,resnet101
n02441942,0.19302302598953247,0.075,40,resnet101
n02442845,0.32395991683006287,0.15,40,resnet101
n02443114,0.26920002698898315,0.225,40,resnet101
n02443484,0.31689172983169556,0.35,40,resnet101
n02444819,0.28721296787261963,0.15,40,resnet101
n02445715,0.2978106141090393,0.025,40,resnet101
n02447366,0.22869940102100372,0.05,40,resnet101
n02454379,0.27347350120544434,0.0,40,resnet101
n02457408,0.3648708462715149,0.225,40,resnet101
n02480495,0.24378888309001923,0.15,40,resnet101
n02480855,0.25449174642562866,0.175,40,resnet101
n02481823,0.2528112530708313,0.225,40,resnet101
n02483362,0.2298327386379242,0.1,40,resnet101
n02483708,0.30387285351753235,0.1,40,resnet101
n02484975,0.3620811402797699,0.525,40,resnet101
n02486261,0.19990448653697968,0.25,40,resnet101
n02486410,0.32112735509872437,0.15,40,resnet101
n02487347,0.2714686989784241,0.175,40,resnet101
n02488291,0.2669493556022644,0.1,40,resnet101
n02488702,0.2857113778591156,0.3,40,resnet101
n02489166,0.2600114047527313,0.05,40,resnet101
n02490219,0.28147464990615845,0.125,40,resnet101
n02492035,0.23650570213794708,0.2,40,resnet101
n02492660,0.22969453036785126,0.05,40,resnet101
n02493509,0.29609209299087524,0.25,40,resnet101
n02493793,0.25659576058387756,0.225,40,resnet101
n02494079,0.19879230856895447,0.025,40,resnet101
n02497673,0.2742535471916199,0.175,40,resnet101
n02500267,0.2574944496154785,0.175,40,resnet101
n02504013,0.3220134973526001,0.325,40,resnet101
n02504458,0.26514777541160583,0.125,40,resnet101
n02509815,0.1559440791606903,0.05,40,resnet101
n02510455,0.22395268082618713,0.025,40,resnet101
n02514041,0.2843589782714844,0.25,40,resnet101
n02526121,0.32802748680114746,0.35,40,resnet101
n02536864,0.36200860142707825,0.35,40,resnet101
n02606052,0.13842497766017914,0.025,40,resnet101
n02607072,0.2542114853858948,0.225,40,resnet101
n02640242,0.30863475799560547,0.2,40,resnet101
n02641379,0.30357950925827026,0.25,40,resnet101
n02643566,0.2069414108991623,0.1,40,resnet101
n02655020,0.3621293604373932,0.3,40,resnet101
n02666196,0.24127569794654846,0.2,40,resnet101
n02667093,0.29953381419181824,0.275,40,resnet101
n02669723,0.29692715406417847,0.25,40,resnet101
n02672831,0.2360004484653473,0.075,40,resnet101
n02676566,0.2285066843032837,0.075,40,resnet101
n02687172,0.27068376541137695,0.3,40,resnet101
n02690373,0.20850248634815216,0.2,40,resnet101
n02692877,0.33147042989730835,0.2,40,resnet101
n02699494,0.3153823912143707,0.275,40,resnet101
n02701002,0.145926833152771,0.0,40,resnet101
n02704792,0.31041431427001953,0.325,40,resnet101
n02708093,0.18148866295814514,0.1,40,resnet101
n02727426,0.40513548254966736,0.425,40,resnet101
n02730930,0.36851102113723755,0.45,40,resnet101
n02747177,0.3734268844127655,0.175,40,resnet101
n02749479,0.32691171765327454,0.15,40,resnet101
n02769748,0.38332000374794006,0.375,40,resnet101
n02776631,0.2814232409000397,0.5,40,resnet101
n02777292,0.3002576231956482,0.15,40,resnet101
n02782093,0.239190936088562,0.2,40,resnet101
n02783161,0.278755247592926,0.25,40,resnet101
n02786058,0.37893280386924744,0.225,40,resnet101
n02787622,0.2801475524902344,0.3,40,resnet101
n02788148,0.3583846390247345,0.3,40,resnet101
n02790996,0.3272317051887512,0.6,40,resnet101
n02791124,0.3235824704170227,0.3,40,resnet101
n02791270,0.3527434766292572,0.625,40,resnet101
n02793495,0.2530001401901245,0.05,40,resnet101
n02794156,0.19363828003406525,0.15,40,resnet101
n02795169,0.30171629786491394,0.3,40,resnet101
n02797295,0.3412317633628845,0.175,40,resnet101
n02799071,0.21288752555847168,0.4,40,resnet101
n02802426,0.39903363585472107,0.275,40,resnet101
n02804414,0.3677733540534973,0.425,40,resnet101
n02804610,0.28635892271995544,0.225,40,resnet101
n02807133,0.36261922121047974,0.325,40,resnet101
n02808304,0.42398470640182495,0.525,40,resnet101
n02808440,0.3253529667854309,0.45,40,resnet101
n02814533,0.2674431800842285,0.4,40,resnet101
n02814860,0.22487135231494904,0.1,40,resnet101
n02815834,0.3460676670074463,0.425,40,resnet101
n02817516,0.2224845439195633,0.0,40,resnet101
n02823428,0.22654911875724792,0.175,40,resnet101
n02823750,0.2890288233757019,0.15,40,resnet101
n02825657,0.33118587732315063,0.525,40,resnet101
n02834397,0.34796443581581116,0.3,40,resnet101
n02835271,0.24448056519031525,0.175,40,resnet101
n02837789,0.28291553258895874,0.2,40,resnet101
n02840245,0.354266494512558,0.2,40,resnet101
n02841315,0.3004394471645355,0.325,40,resnet101
n02843684,0.294536292552948,0.2,40,resnet101
n02859443,0.3488949239253998,0.35,40,resnet101
n02860847,0.38721397519111633,0.25,40,resnet101
n02865351,0.2961505353450775,0.35,40,resnet101
n02869837,0.3565753996372223,0.4,40,resnet101
n02870880,0.20076391100883484,0.075,40,resnet101
n02871525,0.3179519772529602,0.5,40,resnet101
n02877765,0.3232899606227875,0.325,40,resnet101
n02879718,0.3437325060367584,0.35,40,resnet101
n02883205,0.24121148884296417,0.15,40,resnet101
n02892201,0.3705267310142517,0.35,40,resnet101
n02892767,0.3401719033718109,0.275,40,resnet101
n02894605,0.3441576361656189,0.35,40,resnet101
n02895154,0.35134679079055786,0.325,40,resnet101
n02906734,0.3748699128627777,0.35,40,resnet101
n02909870,0.3168953061103821,0.25,40,resnet101
n02910353,0.35311850905418396,0.225,40,resnet101
n02916936,0.32769379019737244,0.325,40,resnet101
n02917067,0.306657075881958,0.15,40,resnet101
n02927161,0.32515162229537964,0.225,40,resnet101
n02930766,0.2307378351688385,0.225,40,resnet101
n02939185,0.312206894159317,0.375,40,resnet101
n02948072,0.33942604064941406,0.25,40,resnet101
n02950826,0.34909844398498535,0.2,40,resnet101
n02951358,0.2569241523742676,0.375,40,resnet101
n02951585,0.3218625485897064,0.2,40,resnet101
n02963159,0.31005755066871643,0.275,40,resnet101
n02965783,0.19785453379154205,0.0,40,resnet101
n02966193,0.34164583683013916,0.15,40,resnet101
n02966687,0.3328520953655243,0.275,40,resnet101
n02971356,0.3838135600090027,0.325,40,resnet101
n02974003,0.27946028113365173,0.2,40,resnet101
n02977058,0.32749471068382263,0.175,40,resnet101
n02978881,0.24665232002735138,0.25,40,resnet101
n02979186,0.25620216131210327,0.5,40,resnet101
n02980441,0.299041211605072,0.075,40,resnet101
n02981792,0.2902590334415436,0.275,40,resnet101
n02988304,0.25591155886650085,0.3,40,resnet101
n02992211,0.2772359251976013,0.2,40,resnet101
n02992529,0.23505523800849915,0.325,40,resnet101
n02999410,0.3560550808906555,0.3,40,resnet101
n03000134,0.3031860589981079,0.35,40,resnet101
n03000247,0.3187861442565918,0.25,40,resnet101
n03000684,0.23473748564720154,0.225,40,resnet101
n03014705,0.3908260464668274,0.375,40,resnet101
n03016953,0.21981021761894226,0.05,40,resnet101
n03017168,0.2690657079219818,0.025,40,resnet101
n03018349,0.2899552285671234,0.175,40,resnet101
n03026506,0.30699700117111206,0.125,40,resnet101
n03028079,0.2754458785057068,0.125,40,resnet101
n03032252,0.3443775773048401,0.45,40,resnet101
n03041632,0.32283496856689453,0.4,40,resnet101
n03042490,0.4835450053215027,0.5,40,resnet101
n03045698,0.2986762225627899,0.175,40,resnet101
n03047690,0.30880337953567505,0.325,40,resnet101
n03062245,0.23679634928703308,0.225,40,resnet101
n03063599,0.28790003061294556,0.375,40,resnet101
n03063689,0.255286306142807,0.4,40,resnet101
n03065424,0.3594413101673126,0.15,40,resnet101
n03075370,0.20329520106315613,0.1,40,resnet101
n03085013,0.23774078488349915,0.15,40,resnet101
n03089624,0.32496803998947144,0.35,40,resnet101
n03095699,0.267058402299881,0.2,40,resnet101
n03100240,0.2330460548400879,0.325,40,resnet101
n03109150,0.2965208888053894,0.25,40,resnet101
n03110669,0.25225767493247986,0.225,40,resnet101
n03124043,0.3344443440437317,0.2,40,resnet101
n03124170,0.26892948150634766,0.325,40,resnet101
n03125729,0.3962320387363434,0.475,40,resnet101
n03126707,0.25778329372406006,0.125,40,resnet101
n03127747,0.2728270888328552,0.175,40,resnet101
n03127925,0.3765704929828644,0.35,40,resnet101
n03131574,0.35677865147590637,0.175,40,resnet101
n03133878,0.29879269003868103,0.3,40,resnet101
n03134739,0.32207077741622925,0.35,40,resnet101
n03141823,0.3805757462978363,0.475,40,resnet101
n03146219,0.36888033151626587,0.45,40,resnet101
n03160309,0.3824074864387512,0.35,40,resnet101
n03179701,0.29111939668655396,0.35,40,resnet101
n03180011,0.2485608607530594,0.35,40,resnet101
n03187595,0.3117751479148865,0.3,40,resnet101
n03188531,0.37288394570350647,0.425,40,resnet101
n03196217,0.2599436640739441,0.325,40,resnet101
n03197337,0.30823415517807007,0.15,40,resnet101
n03201208,0.3400469720363617,0.4,40,resnet101
n03207743,0.40295666456222534,0.475,40,resnet101
n03207941,0.3521730303764343,0.625,40,resnet101
n03208938,0.267179399728775,0.35,40,resnet101
n03216828,0.291778028011322,0.325,40,resnet101
n03218198,0.2916344404220581,0.075,40,resnet101
n03220513,0.24049782752990723,0.35,40,resnet101
n03223299,0.45025134086608887,0.65,40,resnet101
n03240683,0.2567555010318756,0.1,40,resnet101
n03249569,0.3214844763278961,0.175,40,resnet101
n03250847,0.325128972530365,0.3,40,resnet101
n03255030,0.34444230794906616,0.3,40,resnet101
n03259280,0.2753438949584961,0.35,40,resnet101
n03271574,0.2753627896308899,0.15,40,resnet101
n03272010,0.27997732162475586,0.125,40,resnet101
n03272562,0.20230558514595032,0.2,40,resnet101
n03290653,0.18644312024116516,0.125,40,resnet101
n03291819,0.3802962899208069,0.3,40,resnet101
n03297495,0.233564093708992,0.2,40,resnet101
n03314780,0.27664169669151306,0.2,40,resnet101
n03325584,0.3650186061859131,0.3,40,resnet101
n03337140,0.3453156054019928,0.35,40,resnet101
n03344393,0.18325917422771454,0.125,40,resnet101
n03345487,0.25313133001327515,0.125,40,resnet101
n03347037,0.3398801386356354,0.325,40,resnet101
n03355925,0.298625648021698,0.05,40,resnet101
