model,wnid,margin_clean,pred_entropy_clean,n_confusable
vit_b_32,n02948072,0.5309693999999999,0.9449621656141801,17
vit_b_32,n02950826,0.6817106000000002,0.578319931293282,9
vit_b_32,n02951358,0.7975008000000001,0.20795411921483178,1
vit_b_32,n02951585,0.6137760000000001,0.8129320103966421,16
vit_b_32,n02963159,0.6011754,0.8151991414311882,13
vit_b_32,n02965783,0.7981265999999999,0.2550897126605982,3
vit_b_32,n02966193,0.7943404,0.17427873930885202,2
vit_b_32,n02966687,0.525493,0.9535276002110836,13
vit_b_32,n02971356,0.462823,1.1313796457877374,24
vit_b_32,n02974003,0.5377706000000001,0.9821271019722316,14
vit_b_32,n02977058,0.6118798,0.7892841726508156,15
vit_b_32,n02978881,0.4199472,1.2192047956206284,12
vit_b_32,n02979186,0.24020539999999996,1.52707095492478,7
vit_b_32,n02980441,0.6373397999999999,0.6810519163311032,7
vit_b_32,n02981792,0.6410788,0.5884797254011288,6
vit_b_32,n02988304,0.276652,1.584996919213816,13
vit_b_32,n02992211,0.6602923999999999,0.6010442078787988,7
vit_b_32,n02992529,0.5811116000000001,0.8373989872384737,13
vit_b_32,n02999410,0.455204,1.1189094818386645,18
vit_b_32,n03000134,0.5015686,0.9915258330420446,14
vit_b_32,n03000247,0.6787721999999999,0.5684864642576042,8
vit_b_32,n03000684,0.7003636,0.5746453631837687,6
vit_b_32,n03014705,0.5583819999999999,0.9222771042605156,14
vit_b_32,n03016953,0.470129,1.1269766801772825,11
vit_b_32,n03017168,0.49504440000000005,1.0187443410745918,14
vit_b_32,n03018349,0.6681704,0.5544850674822347,7
vit_b_32,n03026506,0.7845759999999998,0.2893474077911115,6
vit_b_32,n03028079,0.525313,1.0053784090567062,11
vit_b_32,n03032252,0.5999234,0.7940192406019199,11
vit_b_32,n03041632,0.3913401999999999,1.2531425958351887,24
vit_b_32,n03042490,0.7549459999999999,0.330912099880903,4
vit_b_32,n03045698,0.42939679999999997,1.1975161404669978,26
vit_b_32,n03047690,0.5734733999999999,0.8514851193431757,14
vit_b_32,n03062245,0.5348098,0.9760598979709141,12
vit_b_32,n03063599,0.4015956,1.2969675992314604,12
vit_b_32,n03063689,0.33418099999999995,1.2246380414205862,12
vit_b_32,n03065424,0.5929292,0.7799247388140196,12
vit_b_32,n03075370,0.5423954,0.86732029229049,12
vit_b_32,n03085013,0.4801228,1.1849195086548907,13
vit_b_32,n03089624,0.41159680000000004,1.2175457009447213,15
vit_b_32,n03095699,0.7590743999999999,0.35523450497800224,5
vit_b_32,n03100240,0.5403542,0.9037116980667907,5
vit_b_32,n03109150,0.6769885999999999,0.6001634683964453,5
vit_b_32,n03110669,0.3936002,1.1639400143249496,12
vit_b_32,n03124043,0.5837922,0.7771440673009006,14
vit_b_32,n03124170,0.47130140000000004,1.069135017374024,16
vit_b_32,n03125729,0.42782459999999994,1.1657011130201012,14
vit_b_32,n03126707,0.6560312,0.6828420776465657,10
vit_b_32,n03127747,0.8159932000000001,0.26584352219297325,3
vit_b_32,n03127925,0.5474163999999999,0.9621832792212304,18
vit_b_32,n03131574,0.6477988,0.6878486255422365,7
vit_b_32,n03133878,0.6183294,0.7309191242856938,12
vit_b_32,n03134739,0.6930848000000001,0.5344732582262138,8
vit_b_32,n03141823,0.4049532,1.2641348966109758,21
vit_b_32,n03146219,0.30885419999999997,1.1941196293604817,11
vit_b_32,n03160309,0.6475262,0.6425330377084245,10
vit_b_32,n03179701,0.317139,1.577047268364783,13
vit_b_32,n03180011,0.27272899999999994,1.6978510806105036,9
vit_b_32,n03187595,0.7392316,0.3415608730544701,5
vit_b_32,n03188531,0.540841,0.9858103511160349,12
vit_b_32,n03196217,0.5944126,0.8094837273448774,15
vit_b_32,n03197337,0.4376650000000001,1.0642466451029011,14
vit_b_32,n03201208,0.6171108,0.7273873542482231,6
vit_b_32,n03207743,0.6736101999999999,0.5402781547726431,8
vit_b_32,n03207941,0.5190616,0.9457277291358318,22
vit_b_32,n03208938,0.7858626000000001,0.29742231042960104,3
vit_b_32,n03216828,0.48702200000000007,1.1024119586631367,13
vit_b_32,n03218198,0.7163714000000002,0.4800298599041202,3
vit_b_32,n03220513,0.6138792,0.735108165799227,7
vit_b_32,n03223299,0.5266698,0.9429508554178726,19
vit_b_32,n03240683,0.7561892,0.3824596779365267,7
vit_b_32,n03249569,0.4072142,1.2083367129842093,19
vit_b_32,n03250847,0.44209719999999997,1.199848365502235,15
vit_b_32,n03255030,0.45360020000000006,1.0082895747454983,12
vit_b_32,n03259280,0.5760412,0.85733700293271,12
vit_b_32,n03271574,0.7145743999999999,0.45900577111012536,8
vit_b_32,n03272010,0.5966324000000001,0.8070161210489958,10
vit_b_32,n03272562,0.7271132,0.43315651567148516,4
vit_b_32,n03290653,0.716327,0.5131981263087767,2
vit_b_32,n03291819,0.4512642,1.1985552885057427,17
vit_b_32,n03297495,0.6498484000000001,0.5252178104162913,3
vit_b_32,n03314780,0.6202709999999999,0.6953585786186998,9
vit_b_32,n03325584,0.6736216,0.5852799413414672,9
vit_b_32,n03337140,0.6806464,0.6188923721715186,6
vit_b_32,n03344393,0.8018483999999999,0.2717943184510686,5
vit_b_32,n03345487,0.6903814,0.5451193498837933,7
vit_b_32,n03347037,0.558257,0.8472251223497086,16
vit_b_32,n03355925,0.6423544,0.6844580543119126,12
vit_b_32,n03372029,0.40177460000000004,1.2128708073543708,20
vit_b_32,n03376595,0.5552986,0.8431383389818281,13
vit_b_32,n03379051,0.7503912000000001,0.3009099333746878,6
vit_b_32,n03384352,0.7115253999999999,0.45551850794098475,10
vit_b_32,n03388043,0.6920054,0.5264250674579853,7
vit_b_32,n03388183,0.6320694,0.6982143668164378,6
vit_b_32,n03388549,0.7099335999999999,0.5232397116676367,5
vit_b_32,n03393912,0.8314500000000001,0.16702531754319014,3
vit_b_32,n03394916,0.6646462,0.6603682042568495,6
vit_b_32,n03400231,0.407607,1.2347489442852817,21
vit_b_32,n03404251,0.7020644000000001,0.5212325954325762,7
vit_b_32,n03417042,0.8035619999999999,0.2967717112003417,4
vit_b_32,n03424325,0.643311,0.6516743377881731,9
vit_b_32,n03425413,0.7375244000000001,0.395402874926591,6
vit_b_32,n03443371,0.5226202,0.924729804000076,14
vit_b_32,n03444034,0.7761587999999999,0.31214064422911497,2
vit_b_32,n03445777,0.7837305999999998,0.3023978803004919,7
vit_b_32,n03445924,0.6991212,0.49906016239669015,10
vit_b_32,n03447447,0.8474444,0.1295405219823552,3
vit_b_32,n03447721,0.315087,1.0662948521546536,7
vit_b_32,n03450230,0.4384761999999999,1.1568377887643004,10
vit_b_32,n03452741,0.6619835999999999,0.6131986639977245,6
vit_b_32,n03457902,0.6860177999999999,0.5397115905189136,8
vit_b_32,n03459775,0.6181110000000001,0.7550386404790193,8
vit_b_32,n03461385,0.47559380000000007,1.118023830142289,16
vit_b_32,n03467068,0.6669048000000001,0.5739832798357299,8
vit_b_32,n03476684,0.36964040000000004,1.305791126024113,24
vit_b_32,n03476991,0.3250094,1.4534149641154697,21
vit_b_32,n03478589,0.6993573999999999,0.4891543676030941,9
vit_b_32,n03481172,0.41620760000000007,1.2195242448404526,19
vit_b_32,n03482405,0.5222539999999999,0.9058623716049486,9
vit_b_32,n03483316,0.5115552,1.0051308884759294,20
vit_b_32,n03485407,0.5164334,1.0091264152141783,11
vit_b_32,n03485794,0.6314672,0.712556704667355,12
vit_b_32,n03492542,0.6540039999999999,0.6145113125717127,10
vit_b_32,n03494278,0.5572884,0.9270457659291068,13
vit_b_32,n03495258,0.8050084,0.24252916675257535,5
vit_b_32,n03496892,0.5581583999999999,0.8267650054731651,7
vit_b_32,n03498962,0.48452959999999995,1.0677139877849466,18
vit_b_32,n03527444,0.5840888,0.7860567134426395,12
vit_b_32,n03529860,0.44460440000000007,1.232442342488469,10
vit_b_32,n03530642,0.607361,0.7370271541650513,12
vit_b_32,n03532672,0.2823882,1.4966494770911942,27
vit_b_32,n03534580,0.45563560000000003,1.1755719189966747,12
vit_b_32,n03535780,0.6188728,0.7730568890518025,10
vit_b_32,n03538406,0.6609886,0.5905772650775284,6
vit_b_32,n03544143,0.8012467999999999,0.23225609077065232,4
vit_b_32,n03584254,0.6258408,0.670871766016813,12
vit_b_32,n03584829,0.6650706000000001,0.5204658438814255,8
vit_b_32,n03590841,0.8622643999999999,0.09485479600312217,3
vit_b_32,n03594734,0.5746604,0.8091739060599029,16
vit_b_32,n03594945,0.6432636,0.6731405488531315,11
vit_b_32,n03595614,0.6412442,0.7157540735473337,10
vit_b_32,n03598930,0.7333005999999999,0.3878489799718099,5
vit_b_32,n03599486,0.7978236,0.25244197193345685,4
vit_b_32,n03602883,0.6281838,0.735256946096853,14
vit_b_32,n03617480,0.6959219999999999,0.5119100764685712,9
vit_b_32,n03623198,0.6401690000000001,0.6439790595724064,10
vit_b_32,n03627232,0.6552317999999999,0.6229870514787967,11
vit_b_32,n03630383,0.613457,0.7920932752395957,8
vit_b_32,n03633091,0.3862614000000001,1.3225712387381698,28
vit_b_32,n03637318,0.39529800000000004,1.0458250992848364,12
vit_b_32,n03642806,0.3200096,1.358129886131237,10
vit_b_32,n03649909,0.6347948,0.6458196638876151,8
vit_b_32,n03657121,0.5125964,0.9596795579278861,15
vit_b_32,n03658185,0.3129048,1.4860410556543666,28
vit_b_32,n03661043,0.5483262000000001,0.9432860521063495,12
vit_b_32,n03662601,0.861969,0.10707179477531062,4
vit_b_32,n03666591,0.4768406,1.0846477183395922,21
vit_b_32,n03670208,0.7014195999999999,0.5533063842192472,10
vit_b_32,n03673027,0.766731,0.3746951115621908,4
vit_b_32,n03676483,0.6404056,0.612759141394889,8
vit_b_32,n03680355,0.7328762000000001,0.5062664511990713,5
vit_b_32,n03690938,0.46295519999999996,1.0707739923788917,10
vit_b_32,n03691459,0.5250838,1.0163124410193467,19
vit_b_32,n03692522,0.37331139999999996,1.3055107634054022,25
vit_b_32,n03697007,0.5932998,0.7425976937718355,17
vit_b_32,n03706229,0.5970713999999999,0.7985459810728418,12
vit_b_32,n03709823,0.43679540000000006,1.0587777855693001,10
vit_b_32,n03710193,0.6831094,0.5755071401782769,6
vit_b_32,n03710637,0.2634234,1.2246494085740722,6
vit_b_32,n03710721,0.29914320000000005,1.186497502632017,6
vit_b_32,n03717622,0.7503962,0.29289718476995735,3
vit_b_32,n03720891,0.6537464,0.6471421249936613,7
vit_b_32,n03721384,0.7310053999999999,0.44000354897805677,9
vit_b_32,n03724870,0.45542440000000006,1.0686438892247423,18
vit_b_32,n03729826,0.612223,0.6742123752409571,11
vit_b_32,n03733131,0.7792814,0.2645061233729678,4
vit_b_32,n03733281,0.7422153999999999,0.3742161379904321,6
vit_b_32,n03733805,0.5724758,0.8356631730464897,10
vit_b_32,n03742115,0.4981273999999999,1.0257828279030259,14
vit_b_32,n03743016,0.6995192,0.520896782480516,10
vit_b_32,n03759954,0.40797100000000003,1.2557345352986153,23
vit_b_32,n03761084,0.48729700000000004,1.0686871928692738,20
vit_b_32,n03763968,0.5393702,0.91948676199611,16
vit_b_32,n03764736,0.49256700000000003,1.031871014638796,17
vit_b_32,n03769881,0.6984758000000001,0.6255533704551354,9
vit_b_32,n03770439,0.3853078,1.274493056814333,20
vit_b_32,n03770679,0.5352870000000001,0.9534669409432724,12
vit_b_32,n03773504,0.22851680000000002,1.193020668725208,17
vit_b_32,n03775071,0.6135898,0.7522997667654511,12
vit_b_32,n03775546,0.7158537999999999,0.46759325081811215,9
vit_b_32,n03776460,0.4719322,1.1031574039110572,19
vit_b_32,n03777568,0.7749886,0.31919191457989676,5
vit_b_32,n03777754,0.4324626000000001,1.2252398124077888,17
vit_b_32,n03781244,0.4688942000000001,1.1501829593298738,15
vit_b_32,n03782006,0.2335146,1.7111831540310738,13
vit_b_32,n03785016,0.5572351999999999,0.8330988212005618,8
vit_b_32,n03786901,0.6351394,0.6758063382586087,9
vit_b_32,n03787032,0.5490092000000001,0.7728548086764724,7
vit_b_32,n03788195,0.7621287999999999,0.3685498157334605,4
vit_b_32,n03788365,0.7798352,0.316470768303869,3
vit_b_32,n03791053,0.5244868000000001,0.8162956345052673,4
vit_b_32,n03792782,0.6208678000000001,0.7624991242707195,8
vit_b_32,n03792972,0.7935686,0.2744257279505357,4
vit_b_32,n03793489,0.38549020000000006,1.3929331289035745,19
vit_b_32,n03794056,0.5905391999999999,0.703064314359203,8
vit_b_32,n03796401,0.42313979999999995,1.1860003132271828,14
vit_b_32,n03803284,0.5436991999999999,0.9353645539462819,19
vit_b_32,n03804744,0.5544250000000001,0.9190255359000676,16
vit_b_32,n03814639,0.5681376,0.8314665843036648,17
vit_b_32,n03814906,0.6250528000000001,0.6975003744813344,6
vit_b_32,n03825788,0.5827093999999999,0.8631017585009889,7
vit_b_32,n03832673,0.2298996,1.5606554934738628,18
vit_b_32,n03837869,0.7267936,0.48751238714431866,12
vit_b_32,n03838899,0.6562361999999999,0.6851990930731925,10
vit_b_32,n03840681,0.7186162,0.4684293720342392,11
vit_b_32,n03841143,0.8537728000000001,0.10237567347291235,1
vit_b_32,n03843555,0.4523884,1.1242451350180023,15
vit_b_32,n03854065,0.7421154000000001,0.39982498656660936,7
vit_b_32,n03857828,0.8127057999999999,0.25548515715146763,5
vit_b_32,n03866082,0.3475790000000001,1.391192457526151,20
vit_b_32,n03868242,0.4938324,0.9063295315750349,6
vit_b_32,n03868863,0.5270388,0.9121024916771107,15
vit_b_32,n03871628,0.4091128,1.2313030890846972,20
vit_b_32,n03873416,0.5869434,0.734699413054122,9
vit_b_32,n03874293,0.7932706,0.26172407129592495,5
vit_b_32,n03874599,0.6587014000000001,0.6622015378562943,14
vit_b_32,n03876231,0.529732,0.8605096664094831,16
vit_b_32,n03877472,0.507178,0.9470291000758437,12
vit_b_32,n03877845,0.6040216,0.7721575443044312,7
vit_b_32,n03884397,0.7362823999999999,0.44084695628185316,8
vit_b_32,n03887697,0.5592931999999999,0.8894653791616158,15
vit_b_32,n03888257,0.7973332000000001,0.27834565593151017,4
vit_b_32,n03888605,0.4931252,0.903213701264267,10
vit_b_32,n03891251,0.599787,0.7446712569937399,12
vit_b_32,n03891332,0.732051,0.4717020041540165,4
vit_b_32,n03895866,0.6058242,0.7599778138716573,15
vit_b_32,n03899768,0.4926554,1.050234515510371,11
vit_b_32,n03902125,0.6140832,0.6922307097136305,11
vit_b_32,n03903868,0.5781266,0.8704567769187797,13
vit_b_32,n03908618,0.5327151999999998,0.9912779475630003,14
vit_b_32,n03908714,0.5098458,1.0248148026995374,14
vit_b_32,n03916031,0.5895632000000001,0.8628673318556389,13
vit_b_32,n03920288,0.545658,0.852152109551728,16
vit_b_32,n03924679,0.7650286000000002,0.33948634877463846,2
vit_b_32,n03929660,0.6632351999999999,0.5897205420714171,10
vit_b_32,n03929855,0.7243328000000001,0.44316081381327016,8
vit_b_32,n03930313,0.6880786000000002,0.5602102712307332,6
vit_b_32,n03930630,0.5605418,0.8910657894639442,12
vit_b_32,n03933933,0.48190700000000014,1.056676395107876,15
vit_b_32,n03935335,0.742909,0.34560351595487804,5
vit_b_32,n03937543,0.6366662,0.6422346859982849,11
vit_b_32,n03938244,0.5918216,0.794545388175139,11
vit_b_32,n03942813,0.7208742000000001,0.4636943791954246,9
vit_b_32,n03944341,0.7029318000000001,0.4672359048594622,7
vit_b_32,n03947888,0.6532556,0.6293109144446356,7
vit_b_32,n03950228,0.3398857999999999,1.3660584769938233,13
