model,method,severity,feature_delta,metric,rho,n
resnet101,ig,1,abs_delta_edge_strength,prob_drop,-0.28972332015810276,45
resnet101,ig,1,abs_delta_entropy,prob_drop,-0.055335968379446626,45
resnet101,ig,1,abs_delta_saturation,prob_drop,-0.03359683794466403,45
resnet101,ig,1,abs_delta_colorfulness,prob_drop,-0.2675889328063241,45
resnet101,ig,2,abs_delta_brightness,prob_drop,0.18761528326745716,45
resnet101,ig,2,abs_delta_contrast,prob_drop,-0.07154150197628459,45
resnet101,ig,2,abs_delta_hf_energy,prob_drop,-0.17180500658761524,45
resnet101,ig,2,abs_delta_edge_strength,prob_drop,-0.19986824769433462,45
resnet101,ig,2,abs_delta_entropy,prob_drop,-0.057707509881422925,45
resnet101,ig,2,abs_delta_saturation,prob_drop,0.1882740447957839,45
resnet101,ig,2,abs_delta_colorfulness,prob_drop,-0.1823451910408432,45
resnet101,ig,3,abs_delta_brightness,prob_drop,-0.05072463768115942,45
resnet101,ig,3,abs_delta_contrast,prob_drop,-0.09380764163372858,45
resnet101,ig,3,abs_delta_hf_energy,prob_drop,-0.1276679841897233,45
resnet101,ig,3,abs_delta_edge_strength,prob_drop,-0.1458498023715415,45
resnet101,ig,3,abs_delta_entropy,prob_drop,-0.11488801054018445,45
resnet101,ig,3,abs_delta_saturation,prob_drop,0.021080368906455864,45
resnet101,ig,3,abs_delta_colorfulness,prob_drop,-0.20184453227931487,45
resnet101,ig,4,abs_delta_brightness,prob_drop,-0.03478260869565217,45
resnet101,ig,4,abs_delta_contrast,prob_drop,-0.11172595520421606,45
resnet101,ig,4,abs_delta_hf_energy,prob_drop,0.03412384716732543,45
resnet101,ig,4,abs_delta_edge_strength,prob_drop,-0.0461133069828722,45
resnet101,ig,4,abs_delta_entropy,prob_drop,-0.08405797101449275,45
resnet101,ig,4,abs_delta_saturation,prob_drop,0.138866930171278,45
resnet101,ig,4,abs_delta_colorfulness,prob_drop,-0.1235836627140975,45
resnet101,ig,5,abs_delta_brightness,prob_drop,0.04321475625823452,45
resnet101,ig,5,abs_delta_contrast,prob_drop,-0.1799736495388669,45
resnet101,ig,5,abs_delta_hf_energy,prob_drop,0.02121212121212121,45
resnet101,ig,5,abs_delta_edge_strength,prob_drop,-0.00013175230566534913,45
resnet101,ig,5,abs_delta_entropy,prob_drop,0.059947299077733864,45
resnet101,ig,5,abs_delta_saturation,prob_drop,0.14334650856389985,45
resnet101,ig,5,abs_delta_colorfulness,prob_drop,-0.07799736495388668,45
resnet101,ig,1,abs_delta_brightness,centroid_shift,0.3051383399209486,45
resnet101,ig,1,abs_delta_contrast,centroid_shift,0.1820816864295125,45
resnet101,ig,1,abs_delta_hf_energy,centroid_shift,0.29973649538866926,45
resnet101,ig,1,abs_delta_edge_strength,centroid_shift,0.3537549407114624,45
resnet101,ig,1,abs_delta_entropy,centroid_shift,-0.030961791831357045,45
resnet101,ig,1,abs_delta_saturation,centroid_shift,0.11910408432147562,45
resnet101,ig,1,abs_delta_colorfulness,centroid_shift,0.06956521739130433,45
resnet101,ig,2,abs_delta_brightness,centroid_shift,0.127931488801054,45
resnet101,ig,2,abs_delta_contrast,centroid_shift,-0.11462450592885375,45
resnet101,ig,2,abs_delta_hf_energy,centroid_shift,0.20553359683794462,45
resnet101,ig,2,abs_delta_edge_strength,centroid_shift,0.18036890645586295,45
resnet101,ig,2,abs_delta_entropy,centroid_shift,-0.08524374176548088,45
resnet101,ig,2,abs_delta_saturation,centroid_shift,0.01831357048748353,45
resnet101,ig,2,abs_delta_colorfulness,centroid_shift,-0.025164690382081682,45
resnet101,ig,3,abs_delta_brightness,centroid_shift,0.20144927536231882,45
resnet101,ig,3,abs_delta_contrast,centroid_shift,-0.13557312252964424,45
resnet101,ig,3,abs_delta_hf_energy,centroid_shift,0.0992094861660079,45
resnet101,ig,3,abs_delta_edge_strength,centroid_shift,0.0380764163372859,45
resnet101,ig,3,abs_delta_entropy,centroid_shift,-0.035573122529644265,45
resnet101,ig,3,abs_delta_saturation,centroid_shift,-0.0769433465085639,45
resnet101,ig,3,abs_delta_colorfulness,centroid_shift,-0.11462450592885375,45
resnet101,ig,4,abs_delta_brightness,centroid_shift,0.255862977602108,45
resnet101,ig,4,abs_delta_contrast,centroid_shift,-0.007378129117259551,45
resnet101,ig,4,abs_delta_hf_energy,centroid_shift,0.0023715415019762843,45
resnet101,ig,4,abs_delta_edge_strength,centroid_shift,-0.15454545454545454,45
resnet101,ig,4,abs_delta_entropy,centroid_shift,-0.10316205533596837,45
resnet101,ig,4,abs_delta_saturation,centroid_shift,-0.04466403162055335,45
resnet101,ig,4,abs_delta_colorfulness,centroid_shift,-0.12648221343873517,45
resnet101,ig,5,abs_delta_brightness,centroid_shift,0.12635046113306983,45
resnet101,ig,5,abs_delta_contrast,centroid_shift,-0.06798418972332015,45
resnet101,ig,5,abs_delta_hf_energy,centroid_shift,-0.05191040843214756,45
resnet101,ig,5,abs_delta_edge_strength,centroid_shift,-0.06350461133069828,45
resnet101,ig,5,abs_delta_entropy,centroid_shift,0.01805006587615283,45
resnet101,ig,5,abs_delta_saturation,centroid_shift,-0.1758893280632411,45
resnet101,ig,5,abs_delta_colorfulness,centroid_shift,-0.17812911725955202,45
vit_b_16,cam,1,abs_delta_brightness,xai_iou,0.08411339994963889,45
vit_b_16,cam,1,abs_delta_contrast,xai_iou,-0.02412657083194971,45
vit_b_16,cam,1,abs_delta_hf_energy,xai_iou,-0.07237971249584914,45
vit_b_16,cam,1,abs_delta_edge_strength,xai_iou,-0.08991432408409673,45
vit_b_16,cam,1,abs_delta_entropy,xai_iou,0.07554385293282614,45
vit_b_16,cam,1,abs_delta_saturation,xai_iou,-0.10481215197486352,45
vit_b_16,cam,1,abs_delta_colorfulness,xai_iou,0.11549112594966092,45
vit_b_16,cam,2,abs_delta_brightness,xai_iou,0.03056854871908133,45
vit_b_16,cam,2,abs_delta_contrast,xai_iou,0.07852954757143307,45
vit_b_16,cam,2,abs_delta_hf_energy,xai_iou,-0.052770274836172734,45
vit_b_16,cam,2,abs_delta_edge_strength,xai_iou,-0.025891033721118454,45
vit_b_16,cam,2,abs_delta_entropy,xai_iou,0.06449700257754444,45
vit_b_16,cam,2,abs_delta_saturation,xai_iou,-0.23558864271429925,45
vit_b_16,cam,2,abs_delta_colorfulness,xai_iou,0.0015811318302973098,45
vit_b_16,cam,3,abs_delta_brightness,xai_iou,0.01871129282287395,45
vit_b_16,cam,3,abs_delta_contrast,xai_iou,0.05771511448182247,45
vit_b_16,cam,3,abs_delta_hf_energy,xai_iou,0.13611806680301966,45
vit_b_16,cam,3,abs_delta_edge_strength,xai_iou,0.0835419693640992,45
