model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital
resnet101,CNN,n04355933,sunglass,0.44,0.86,0.19466666666666665,0.5690666666666667,0.24533333333333335,0.5575757575757576,0.8053333333333333,0.9300999554158609,-0.03906666666666666,0.2218427642658934,0.11821272739212112,0.368,0.272,0.14800000000000002,0.224,0.072,0.168,0.292,0.216
resnet101,CNN,n02808440,bathtub,0.44,0.9,0.19706666666666667,0.5565333333333333,0.24293333333333333,0.5521212121212121,0.8029333333333333,0.9210011515041839,-0.0612,0.3283356397226453,0.1384794728891535,0.2853333333333333,0.276,0.234,0.187,0.15466666666666667,0.164,0.206,0.253
resnet101,CNN,n02791270,barbershop,0.7,0.92,0.316,0.5458666666666666,0.38399999999999995,0.5485714285714285,0.6839999999999999,1.4558086258683036,-0.06186666666666667,0.4885846633045003,0.19832005241100165,0.3986666666666666,0.567,0.15999999999999992,0.414,0.30133333333333334,0.133,0.54,0.286
resnet101,CNN,n07880968,burrito,0.92,1.0,0.4176,0.5834666666666667,0.5024,0.5460869565217391,0.5824,1.9046829521776973,-0.13133333333333336,0.7008941798377782,0.27866537262923086,0.6613333333333333,0.5920000000000001,0.37,0.42600000000000005,0.25866666666666666,0.328,0.55,0.494
resnet101,CNN,n01756291,sidewinder,0.5,0.9,0.22986666666666666,0.7234666666666667,0.27013333333333334,0.5402666666666667,0.7701333333333333,1.0241209291698554,-0.05093333333333332,0.3449560355115681,0.1983253017366281,0.2386666666666667,0.381,0.15699999999999997,0.29600000000000004,0.2613333333333333,0.119,0.343,0.204
resnet101,CNN,n01978455,rock_crab,0.82,0.96,0.37866666666666665,0.6165333333333334,0.4413333333333333,0.5382113821138211,0.6213333333333333,1.6731689415361408,-0.09146666666666667,0.5763846112205647,0.2562845515984731,0.5026666666666666,0.585,0.20599999999999996,0.48699999999999993,0.31733333333333336,0.235,0.614,0.333
resnet101,CNN,n03633091,ladle,0.6,0.9,0.2792,0.5069333333333333,0.3208,0.5346666666666666,0.7208,1.2162067895274786,-0.04693333333333333,0.42650491465698,0.1846748034602205,0.3333333333333333,0.413,0.20299999999999996,0.33699999999999997,0.26666666666666666,0.187,0.397,0.263
resnet101,CNN,n04026417,purse,0.62,0.94,0.29013333333333335,0.5933333333333334,0.32986666666666664,0.5320430107526881,0.7098666666666666,1.2505800487493692,-0.07813333333333333,0.4902502455562353,0.1913536328213655,0.4013333333333333,0.41500000000000004,0.20600000000000002,0.315,0.21866666666666668,0.205,0.414,0.305
resnet101,CNN,n03216828,dock,0.58,0.96,0.272,0.6250666666666667,0.30799999999999994,0.5310344827586206,0.728,1.1676798353318685,-0.07773333333333335,0.4767552244442049,0.16935293430930462,0.3226666666666666,0.38599999999999995,0.19699999999999995,0.32999999999999996,0.25733333333333336,0.194,0.383,0.25
resnet101,CNN,n03089624,confectionery,0.7,0.92,0.32986666666666664,0.62,0.3701333333333333,0.5287619047619048,0.6701333333333334,1.4032377588230596,-0.08133333333333334,0.4713139215309638,0.21338880941655267,0.45466666666666666,0.46499999999999997,0.17799999999999994,0.40399999999999997,0.24533333333333332,0.235,0.522,0.296
resnet101,CNN,n02971356,carton,0.62,0.88,0.2925333333333333,0.5197333333333334,0.3274666666666667,0.5281720430107527,0.7074666666666667,1.2414812448376924,-0.07306666666666668,0.437175463726162,0.17622666286208738,0.3973333333333333,0.34099999999999997,0.316,0.273,0.22266666666666668,0.279,0.304,0.347
resnet101,CNN,n01985128,crayfish,0.78,0.98,0.3685333333333333,0.5928,0.4114666666666667,0.5275213675213676,0.6314666666666666,1.559939381746384,-0.10013333333333332,0.5667629706540902,0.24932194939937513,0.444,0.539,0.236,0.43500000000000005,0.336,0.241,0.544,0.345
resnet101,CNN,n01755581,diamondback,0.88,0.98,0.41813333333333336,0.6261333333333333,0.46186666666666665,0.5248484848484848,0.5818666666666666,1.7510142638915986,-0.09226666666666666,0.6125853403098881,0.28777393367978843,0.44133333333333336,0.622,0.21499999999999997,0.5640000000000001,0.43866666666666665,0.258,0.665,0.316
resnet101,CNN,n04296562,stage,0.76,0.88,0.36186666666666667,0.6085333333333334,0.39813333333333334,0.523859649122807,0.6381333333333333,1.5093904711259567,-0.07413333333333334,0.5056863823439925,0.20916925261123875,0.47600000000000003,0.585,0.18700000000000006,0.364,0.284,0.175,0.573,0.396
resnet101,CNN,n02808304,bath_towel,0.76,0.92,0.36293333333333333,0.5624,0.3970666666666667,0.5224561403508772,0.6370666666666667,1.5053465582763226,-0.09679999999999998,0.5366181995766237,0.2280343096019326,0.5066666666666666,0.454,0.296,0.359,0.25333333333333335,0.306,0.464,0.401
resnet101,CNN,n02988304,CD_player,0.56,0.9,0.2674666666666667,0.5954666666666667,0.29253333333333337,0.5223809523809524,0.7325333333333333,1.1090430990121734,-0.04853333333333333,0.33056247403263117,0.16102522537618977,0.22133333333333338,0.36700000000000005,0.26500000000000007,0.29900000000000004,0.33866666666666667,0.193,0.295,0.261
resnet101,CNN,n03742115,medicine_chest,0.7,0.94,0.3354666666666667,0.5629333333333333,0.36453333333333326,0.5207619047619046,0.6645333333333333,1.38200721636248,-0.07826666666666666,0.5260250320122577,0.22282889462097963,0.45466666666666666,0.39199999999999996,0.32199999999999995,0.31199999999999994,0.24533333333333332,0.308,0.378,0.388
resnet101,CNN,n15075141,toilet_tissue,0.56,0.9,0.2693333333333333,0.4776,0.29066666666666674,0.5190476190476191,0.7306666666666667,1.1019662515253137,-0.07066666666666666,0.39445426076534207,0.1647845165749191,0.26000000000000006,0.3370000000000001,0.2700000000000001,0.28800000000000003,0.3,0.223,0.29,0.272
resnet101,CNN,n03450230,gown,0.78,0.98,0.3752,0.7149333333333333,0.40480000000000005,0.5189743589743591,0.6248,1.5346649264361705,-0.07813333333333335,0.4792218263074755,0.21606944313909232,0.5653333333333334,0.47600000000000003,0.255,0.36300000000000004,0.21466666666666667,0.304,0.525,0.417
resnet101,CNN,n04525038,velvet,0.3,0.72,0.14453333333333335,0.39386666666666664,0.15546666666666664,0.5182222222222221,0.8554666666666666,0.5894002978341812,-0.031733333333333336,0.24530503856978603,0.08434284409784278,0.208,0.191,0.144,0.092,0.092,0.109,0.156,0.208
resnet101,CNN,n03770439,miniskirt,0.76,0.94,0.36773333333333336,0.5533333333333333,0.39226666666666665,0.516140350877193,0.6322666666666666,1.4871489504529687,-0.08919999999999999,0.4750063864979893,0.21395241100262688,0.27066666666666667,0.608,0.25,0.41000000000000003,0.48933333333333334,0.152,0.51,0.35
resnet101,CNN,n07836838,chocolate_sauce,0.66,0.88,0.3197333333333333,0.5506666666666666,0.3402666666666667,0.5155555555555557,0.6802666666666667,1.2900081990333028,-0.0956,0.4363404290442122,0.18698204702709476,0.328,0.37000000000000005,0.35800000000000004,0.30200000000000005,0.332,0.29,0.302,0.358
resnet101,CNN,n03866082,overskirt,0.48,0.84,0.23386666666666667,0.592,0.24613333333333332,0.5127777777777778,0.7661333333333333,0.9331328900530863,-0.06266666666666668,0.2914799763599875,0.14112454647187203,0.344,0.31899999999999995,0.21799999999999997,0.128,0.136,0.161,0.262,0.352
resnet101,CNN,n03041632,cleaver,0.66,0.9,0.3218666666666667,0.5074666666666666,0.33813333333333334,0.5123232323232323,0.6781333333333333,1.2819203733340343,-0.06333333333333332,0.4236752866045571,0.20613442848210878,0.3626666666666667,0.45300000000000007,0.20900000000000002,0.334,0.29733333333333334,0.207,0.451,0.326
resnet101,CNN,n04357314,sunscreen,0.54,0.86,0.26453333333333334,0.4944,0.2754666666666667,0.5101234567901235,0.7354666666666667,1.0443404934180265,-0.06933333333333333,0.410920140746166,0.17237623421246626,0.33866666666666667,0.30800000000000005,0.22100000000000003,0.25000000000000006,0.20133333333333334,0.232,0.319,0.29
resnet101,CNN,n10148035,groom,0.82,0.94,0.4026666666666667,0.5853333333333334,0.4173333333333333,0.5089430894308943,0.5973333333333333,1.5821809024193716,-0.08719999999999999,0.6099751588905928,0.2552325946923379,0.508,0.5389999999999999,0.22099999999999997,0.42399999999999993,0.312,0.281,0.599,0.396
resnet101,CNN,n04090263,rifle,0.62,0.88,0.3048,0.5485333333333333,0.3152,0.5083870967741935,0.6952,1.1949762470668994,-0.06426666666666667,0.4483670142723713,0.20461715940100592,0.348,0.40900000000000003,0.20900000000000002,0.303,0.272,0.211,0.411,0.317
resnet101,CNN,n02097474,Tibetan_terrier,0.84,1.0,0.4130666666666667,0.7648,0.4269333333333333,0.5082539682539682,0.5869333333333333,1.6185761180660794,-0.09706666666666666,0.5832585242344066,0.2702001294347593,0.5413333333333332,0.5429999999999999,0.31399999999999995,0.33799999999999997,0.2986666666666667,0.297,0.526,0.502
resnet101,CNN,n03908618,pencil_box,0.76,0.94,0.37546666666666667,0.6448,0.38453333333333334,0.5059649122807017,0.6245333333333334,1.457830582293121,-0.09373333333333332,0.5573899711668492,0.24740261175742603,0.44266666666666665,0.485,0.25,0.375,0.31733333333333336,0.275,0.51,0.385
