wnid,mean_drift,spillover_rate,n_par,model
n02085620,0.28821414709091187,0.275,40,resnet50
n02085782,0.2709904909133911,0.125,40,resnet50
n02085936,0.3391985297203064,0.25,40,resnet50
n02086079,0.35361620783805847,0.175,40,resnet50
n02086240,0.34607481956481934,0.325,40,resnet50
n02086646,0.2996116280555725,0.1,40,resnet50
n02086910,0.26945653557777405,0.325,40,resnet50
n02087046,0.3158774971961975,0.25,40,resnet50
n02087394,0.32547464966773987,0.375,40,resnet50
n02088094,0.40726861357688904,0.375,40,resnet50
n02088238,0.3301156461238861,0.375,40,resnet50
n02088364,0.36284103989601135,0.575,40,resnet50
n02088466,0.36142316460609436,0.45,40,resnet50
n02088632,0.3957114815711975,0.25,40,resnet50
n02089078,0.2303270548582077,0.025,40,resnet50
n02089867,0.28172701597213745,0.4,40,resnet50
n02089973,0.23415978252887726,0.15,40,resnet50
n02090379,0.3245389461517334,0.375,40,resnet50
n02090622,0.34774190187454224,0.425,40,resnet50
n02090721,0.3376968502998352,0.3,40,resnet50
n02091032,0.3612039089202881,0.375,40,resnet50
n02091134,0.40788525342941284,0.625,40,resnet50
n02091244,0.35041365027427673,0.3,40,resnet50
n02091467,0.31161895394325256,0.275,40,resnet50
n02091635,0.32614201307296753,0.275,40,resnet50
n02091831,0.3659878671169281,0.375,40,resnet50
n02092002,0.37411218881607056,0.175,40,resnet50
n02092339,0.29914310574531555,0.125,40,resnet50
n02093256,0.3862851560115814,0.35,40,resnet50
n02093428,0.3192119896411896,0.3,40,resnet50
n02093647,0.381415456533432,0.25,40,resnet50
n02093754,0.39870384335517883,0.375,40,resnet50
n02093859,0.38704395294189453,0.575,40,resnet50
n02093991,0.2892398238182068,0.15,40,resnet50
n02094114,0.33508020639419556,0.4,40,resnet50
n02094258,0.33858805894851685,0.35,40,resnet50
n02094433,0.3311799466609955,0.275,40,resnet50
n02095314,0.34601891040802,0.15,40,resnet50
n02095570,0.39300471544265747,0.325,40,resnet50
n02095889,0.3044639229774475,0.275,40,resnet50
n02096051,0.3318174481391907,0.275,40,resnet50
n02096177,0.4097146987915039,0.45,40,resnet50
n02096294,0.2708075940608978,0.3,40,resnet50
n02096437,0.29835352301597595,0.25,40,resnet50
n02096585,0.2910382151603699,0.175,40,resnet50
n02097047,0.3223973214626312,0.35,40,resnet50
n02097130,0.34503260254859924,0.35,40,resnet50
n02097209,0.30024272203445435,0.25,40,resnet50
n02097298,0.3752831220626831,0.425,40,resnet50
n02097474,0.3303373456001282,0.35,40,resnet50
n02097658,0.3960798680782318,0.625,40,resnet50
n02098105,0.41651421785354614,0.55,40,resnet50
n02098286,0.43245452642440796,0.475,40,resnet50
n02098413,0.32743269205093384,0.275,40,resnet50
n02099267,0.37234029173851013,0.325,40,resnet50
n02099429,0.37689393758773804,0.3,40,resnet50
n02099601,0.30569738149642944,0.225,40,resnet50
n02099712,0.34121713042259216,0.275,40,resnet50
n02099849,0.44051918387413025,0.375,40,resnet50
n02100236,0.376528799533844,0.425,40,resnet50
n02100583,0.3354779779911041,0.325,40,resnet50
n02100735,0.34553155303001404,0.275,40,resnet50
n02100877,0.36700090765953064,0.3,40,resnet50
n02101006,0.40120047330856323,0.675,40,resnet50
n02101388,0.3299655020236969,0.2,40,resnet50
n02101556,0.31076598167419434,0.275,40,resnet50
n02102040,0.3443332314491272,0.425,40,resnet50
n02102177,0.3148801028728485,0.325,40,resnet50
n02102318,0.3208019733428955,0.3,40,resnet50
n02102480,0.3891338109970093,0.5,40,resnet50
n02102973,0.3611712157726288,0.325,40,resnet50
n02104029,0.28984811902046204,0.4,40,resnet50
n02104365,0.3763120770454407,0.25,40,resnet50
n02105056,0.3312130570411682,0.325,40,resnet50
n02105162,0.31514307856559753,0.175,40,resnet50
n02105251,0.30002984404563904,0.3,40,resnet50
n02105412,0.3207167685031891,0.325,40,resnet50
n02105505,0.34792080521583557,0.325,40,resnet50
n02105641,0.30275294184684753,0.2,40,resnet50
n02105855,0.27328601479530334,0.55,40,resnet50
n02106030,0.2257196009159088,0.125,40,resnet50
n02106166,0.3410801887512207,0.15,40,resnet50
n02106382,0.3218008279800415,0.125,40,resnet50
n02106550,0.2762041687965393,0.175,40,resnet50
n02106662,0.2351973056793213,0.2,40,resnet50
n02107142,0.2993721067905426,0.175,40,resnet50
n02107312,0.2821345925331116,0.25,40,resnet50
n02107574,0.3142966330051422,0.4,40,resnet50
n02107683,0.3361441493034363,0.325,40,resnet50
n02107908,0.2965990900993347,0.525,40,resnet50
n02108000,0.2384403645992279,0.225,40,resnet50
n02108089,0.35068291425704956,0.45,40,resnet50
n02108422,0.34563249349594116,0.45,40,resnet50
n02108551,0.3264274597167969,0.225,40,resnet50
n02108915,0.34168073534965515,0.25,40,resnet50
n02109047,0.3941240906715393,0.625,40,resnet50
n02109525,0.3028443455696106,0.175,40,resnet50
n02109961,0.2934332489967346,0.425,40,resnet50
n02110063,0.3156339228153229,0.3,40,resnet50
n02110185,0.3231661915779114,0.25,40,resnet50
n02110341,0.3102148771286011,0.2,40,resnet50
n02110627,0.37931007146835327,0.275,40,resnet50
n02110806,0.3022032380104065,0.125,40,resnet50
n02110958,0.39341649413108826,0.4,40,resnet50
n02111129,0.32877761125564575,0.4,40,resnet50
n02111277,0.35849276185035706,0.4,40,resnet50
n02111500,0.35309985280036926,0.325,40,resnet50
n02111889,0.3078548312187195,0.125,40,resnet50
n02112018,0.2902987599372864,0.075,40,resnet50
n02112137,0.3090892434120178,0.15,40,resnet50
n02112350,0.2594502866268158,0.2,40,resnet50
n02112706,0.33966192603111267,0.325,40,resnet50
n02113023,0.3621157705783844,0.175,40,resnet50
n02113186,0.28144440054893494,0.175,40,resnet50
n02113624,0.4115142226219177,0.4,40,resnet50
n02113712,0.3185203969478607,0.725,40,resnet50
n02113799,0.39509153366088867,0.4,40,resnet50
n02113978,0.3754664361476898,0.35,40,resnet50
n02114367,0.30028682947158813,0.275,40,resnet50
n02114548,0.33010488748550415,0.3,40,resnet50
n02114712,0.32812902331352234,0.5,40,resnet50
n02114855,0.34884321689605713,0.175,40,resnet50
n02115641,0.29289957880973816,0.15,40,resnet50
n02115913,0.3644767701625824,0.275,40,resnet50
n02116738,0.29038286209106445,0.025,40,resnet50
n02117135,0.33806949853897095,0.15,40,resnet50
n02119022,0.2720283269882202,0.075,40,resnet50
n02119789,0.3691093921661377,0.8,40,resnet50
n02120079,0.36634382605552673,0.25,40,resnet50
n02120505,0.32238006591796875,0.15,40,resnet50
n02123045,0.30399665236473083,0.075,40,resnet50
n02123159,0.3285295069217682,0.65,40,resnet50
n02123394,0.31540411710739136,0.075,40,resnet50
n02123597,0.259694904088974,0.075,40,resnet50
n02124075,0.3754076063632965,0.575,40,resnet50
n02125311,0.3536784052848816,0.25,40,resnet50
n02127052,0.2882099449634552,0.275,40,resnet50
n02128385,0.2510167062282562,0.2,40,resnet50
n02128757,0.2409994900226593,0.1,40,resnet50
n02128925,0.2715236246585846,0.525,40,resnet50
n02129165,0.38633352518081665,0.35,40,resnet50
n02129604,0.2679474353790283,0.1,40,resnet50
n02130308,0.26413431763648987,0.1,40,resnet50
n02132136,0.30141133069992065,0.15,40,resnet50
n02133161,0.4104822278022766,0.125,40,resnet50
n02134084,0.33510375022888184,0.1,40,resnet50
n02134418,0.31406962871551514,0.275,40,resnet50
n02137549,0.4308183193206787,0.4,40,resnet50
n02138441,0.3595800995826721,0.175,40,resnet50
n02165105,0.27151626348495483,0.175,40,resnet50
n02165456,0.3100762963294983,0.1,40,resnet50
n02167151,0.3144229054450989,0.3,40,resnet50
n02168699,0.40965837240219116,0.425,40,resnet50
n02169497,0.35114800930023193,0.525,40,resnet50
n02172182,0.4612588882446289,0.3,40,resnet50
n02174001,0.39579883217811584,0.375,40,resnet50
n02177972,0.3589760661125183,0.275,40,resnet50
n02190166,0.3278818428516388,0.15,40,resnet50
n02206856,0.408613920211792,0.525,40,resnet50
n02219486,0.3378817141056061,0.175,40,resnet50
n02226429,0.38279128074645996,0.575,40,resnet50
n02229544,0.4183036684989929,0.475,40,resnet50
n02231487,0.40627139806747437,0.175,40,resnet50
n02233338,0.4822114109992981,0.35,40,resnet50
n02236044,0.45261064171791077,0.425,40,resnet50
n02256656,0.4206960201263428,0.4,40,resnet50
n02259212,0.33480167388916016,0.25,40,resnet50
n02264363,0.34425607323646545,0.225,40,resnet50
n02268443,0.39659348130226135,0.525,40,resnet50
n02268853,0.27107739448547363,0.15,40,resnet50
n02276258,0.3350180685520172,0.2,40,resnet50
n02277742,0.31321296095848083,0.275,40,resnet50
n02279972,0.22923734784126282,0.075,40,resnet50
n02280649,0.31391477584838867,0.15,40,resnet50
n02281406,0.23297205567359924,0.025,40,resnet50
n02281787,0.34583306312561035,0.2,40,resnet50
n02317335,0.3742040693759918,0.25,40,resnet50
n02319095,0.40116196870803833,0.35,40,resnet50
n02321529,0.4228798747062683,0.375,40,resnet50
n02325366,0.3083636164665222,0.175,40,resnet50
n02326432,0.3262028694152832,0.225,40,resnet50
n02328150,0.3827126622200012,0.25,40,resnet50
n02342885,0.38002273440361023,0.25,40,resnet50
n02346627,0.39933162927627563,0.25,40,resnet50
n02356798,0.3547644019126892,0.325,40,resnet50
n02361337,0.4226326048374176,0.325,40,resnet50
n02363005,0.4288731515407562,0.35,40,resnet50
n02364673,0.44568949937820435,0.4,40,resnet50
n02389026,0.4026520252227783,0.25,40,resnet50
n02391049,0.25348496437072754,0.0,40,resnet50
n02395406,0.463972270488739,0.4,40,resnet50
n02396427,0.40061187744140625,0.325,40,resnet50
n02397096,0.4282798171043396,0.275,40,resnet50
n02398521,0.47226428985595703,0.5,40,resnet50
n02403003,0.43075141310691833,0.525,40,resnet50
n02408429,0.40262484550476074,0.35,40,resnet50
