model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital,brightness,contrast,colorfulness,saturation,hf_ratio,edge_strength,entropy,margin_clean,pred_entropy_clean,n_confusable
resnet101,CNN,n03355925,flagpole,0.82,0.92,0.5869333333333333,0.7621333333333333,0.23306666666666664,0.2842276422764228,0.4130666666666667,0.8835949576450677,-0.06186666666666667,0.5777707771048881,0.3841118044040496,0.20399999999999996,0.31999999999999995,0.16399999999999992,0.237,0.616,0.5,0.656,0.583,0.5516528856754302,0.1996936619281769,0.15023569792509078,0.25496053099632265,0.008677669921889902,0.025054272264242172,6.610511228996615,0.606553,0.6524904767677381,10
resnet101,CNN,n02106030,collie,0.6,0.94,0.4296,0.8693333333333333,0.1704,0.28400000000000003,0.5704,0.6460150777290599,-0.06333333333333332,0.5161558300349861,0.34858029265396373,0.23066666666666663,0.33599999999999997,0.08699999999999997,0.04299999999999993,0.36933333333333335,0.264,0.513,0.557,0.4356904089450836,0.22544356018304826,0.11916574373841286,0.2631414633989334,0.009777753883972763,0.03831749983131885,7.464420302140948,0.5320122,0.6646607599801648,6
resnet101,CNN,n02088238,basset,0.84,0.96,0.6018666666666667,0.8074666666666667,0.2381333333333333,0.28349206349206346,0.39813333333333334,0.90280354368083,-0.088,0.665106397930067,0.4148631269752793,0.22799999999999998,0.40499999999999997,0.127,0.18999999999999995,0.612,0.435,0.713,0.65,0.43823180317878724,0.21557910799980162,0.1592693641781807,0.3402904886007309,0.009591466672718525,0.034570178389549254,7.457637734978668,0.6553610000000001,0.5357432411315031,7
resnet101,CNN,n02492660,howler_monkey,0.92,0.98,0.6592,0.8421333333333333,0.26080000000000003,0.28347826086956524,0.3408,0.9887366917355564,-0.09546666666666667,0.6922013606969267,0.43986106409150527,0.1293333333333334,0.41400000000000003,0.2310000000000001,0.236,0.7906666666666666,0.506,0.689,0.684,0.4028528332710266,0.24495474219322205,0.15551406085491182,0.33723386347293854,0.027925923336297273,0.054943720921874044,7.4354978395198135,0.6606612,0.4886384858938244,4
resnet101,CNN,n03584254,iPod,0.88,0.98,0.6309333333333333,0.7650666666666667,0.24906666666666666,0.283030303030303,0.36906666666666665,0.9442536503895804,-0.08426666666666668,0.6830040617939085,0.4475011743977443,0.256,0.238,0.17900000000000005,0.32499999999999996,0.624,0.642,0.701,0.555,0.5051827588677407,0.22865473687648774,0.14739985831081867,0.24934315450489522,0.010686986213549972,0.026087478660047056,6.775724139991912,0.6699415999999999,0.4238699461374818,7
resnet101,CNN,n04515003,upright,0.86,0.94,0.6168,0.7536,0.24319999999999997,0.28279069767441856,0.3832,0.9220121297165923,-0.05373333333333332,0.638308500193234,0.4384020628855462,0.22399999999999998,0.23099999999999998,0.275,0.238,0.636,0.629,0.585,0.622,0.3243042531609535,0.2557190603017807,0.10461988806724548,0.3161634737253189,0.023147073108702898,0.03491706095635891,6.857362452859646,0.634475,0.5427884604048114,4
resnet101,CNN,n02708093,analog_clock,0.7,1.0,0.5021333333333333,0.8608,0.19786666666666664,0.2826666666666666,0.4978666666666667,0.7501458336071398,-0.04946666666666668,0.5123555201967247,0.3444116265831185,0.07466666666666666,0.32199999999999995,0.1419999999999999,0.22199999999999998,0.6253333333333333,0.378,0.558,0.478,0.5704763513803482,0.20807295233011247,0.12409176159650087,0.23959429666399956,0.01746127540245652,0.04235481008887291,6.642965416181934,0.4945872,0.8414569842069234,5
resnet101,CNN,n03417042,garbage_truck,0.98,0.98,0.7032,0.8344,0.27679999999999993,0.2824489795918367,0.29679999999999995,1.0493953844800687,-0.1056,0.7771549429273,0.5110854109383576,0.2573333333333333,0.44199999999999995,0.11399999999999999,0.28900000000000003,0.7226666666666667,0.538,0.866,0.691,0.42014492154121397,0.24810886561870574,0.14662364840507508,0.2890486186742783,0.02047044984996319,0.044182293117046356,7.42896523832552,0.7741184,0.14645894463010178,2
resnet101,CNN,n09256479,coral_reef,0.78,0.98,0.5597333333333333,0.8096,0.22026666666666672,0.2823931623931625,0.4402666666666667,0.8350680034494579,-0.076,0.5671919468202395,0.34215625250877735,0.29733333333333334,0.35200000000000004,0.10199999999999998,0.14900000000000002,0.4826666666666667,0.428,0.678,0.631,0.4376815748214722,0.16895047843456268,0.26031829982995985,0.5493736904859543,0.019328387286514044,0.04409418307244778,7.114450303655059,0.5843908,0.7095686774586638,9
resnet101,CNN,n02111889,Samoyed,0.98,1.0,0.7034666666666667,0.8554666666666667,0.2765333333333333,0.2821768707482993,0.2965333333333333,1.0483844062676604,-0.11213333333333333,0.7948063381761312,0.5053769143302604,0.42799999999999994,0.33499999999999996,0.23299999999999998,0.14800000000000002,0.552,0.645,0.747,0.832,0.5212347829341888,0.21592082023620607,0.10641533106565476,0.22271550074219704,0.005321782506071031,0.026105203665792942,7.237040551211835,0.8000838,0.17251356475769686,2
