grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,ice_cream,zoom_blur,2,0.2146380813792348,0.8752380952380953
podatne,ice_cream,zoom_blur,3,0.21217174641788006,0.8606208501220135
podatne,ice_cream,zoom_blur,4,0.2150519909337163,0.8724587217791755
podatne,ice_cream,zoom_blur,5,0.21670282166451216,0.8758049162887059
podatne,ice_cream,snow,1,-0.15278299152851105,0.6843381389252949
podatne,ice_cream,snow,2,0.22587515809573233,0.8641018387553041
podatne,ice_cream,snow,3,0.2235629097558558,0.9401921452702703
podatne,ice_cream,snow,4,0.2239787122234702,0.9451479010140282
podatne,ice_cream,snow,5,0.22746826196089387,0.8510358246537713
podatne,ice_cream,frost,1,0.0878307968378067,0.7332323805918355
podatne,ice_cream,frost,2,0.20621246472001076,0.8348325692066624
podatne,ice_cream,frost,3,0.2120840772986412,0.9055873535023167
podatne,ice_cream,frost,4,0.22755339200375602,0.8503779202931745
podatne,ice_cream,frost,5,0.22481708647683263,0.9047515138290327
podatne,ice_cream,fog,1,0.08890308439731598,0.5870223098036456
podatne,ice_cream,fog,2,0.038361892104148865,0.6941788617886179
podatne,ice_cream,fog,3,0.05336490273475647,0.7505756425415396
podatne,ice_cream,fog,4,0.06212301552295685,0.8128547776726585
podatne,ice_cream,fog,5,0.15385733544826508,0.8789435479367915
podatne,ice_cream,brightness,1,-0.13852964341640472,0.3707701046823014
podatne,ice_cream,brightness,2,-0.41338418424129486,0.5079494799405646
podatne,ice_cream,brightness,3,-0.44130687415599823,0.572555990046214
podatne,ice_cream,brightness,4,-0.5482247322797775,0.6331949077541017
podatne,ice_cream,brightness,5,-0.6299792975187302,0.6867477760334904
podatne,ice_cream,contrast,1,-0.12120358645915985,0.616524255788313
podatne,ice_cream,contrast,2,-0.20989693701267242,0.6288075399535582
podatne,ice_cream,contrast,3,-0.3689476102590561,0.6920521172638436
podatne,ice_cream,contrast,4,-0.6078565567731857,0.7724993886035706
podatne,ice_cream,contrast,5,-0.6692722886800766,0.8546408808260597
