wnid,CNN,ViT,diff,name
n02037110,0.2065691609977324,0.11596674225245648,-0.09060241874527591,oystercatcher
n02051845,0.327327059712774,0.17128458498023721,-0.15604247473253677,pelican
n02056570,0.25188208616780045,0.13424134871339846,-0.11764073745440198,king_penguin
n02058221,0.26262660619803474,0.2097119698943407,-0.05291463630369403,albatross
n02066245,0.28344285231823224,0.18529069767441864,-0.0981521546438136,grey_whale
n02071294,0.24362267573696142,0.15928333333333333,-0.08433934240362809,killer_whale
n02074367,0.26886312399355883,0.23249999999999996,-0.03636312399355887,dugong
n02077923,0.41465036841848435,0.361256038647343,-0.053394329771141336,sea_lion
n02085782,0.28501418037436194,0.19288667404946472,-0.09212750632489722,Japanese_spaniel
n02085936,0.33320536483327173,0.2534502923976608,-0.07975507243561092,Maltese_dog
n02086079,0.2917530864197531,0.21995767195767202,-0.0717954144620811,Pekinese
n02086240,0.3280343450167613,0.24170034843205565,-0.08633399658470567,Shih-Tzu
n02086646,0.1957821118991331,0.13359810874704486,-0.062184003152088246,Blenheim_spaniel
n02086910,0.23367218282111893,0.16337033610854146,-0.07030184671257747,papillon
n02087394,0.3985335177220382,0.34494094094094097,-0.053592576781097245,Rhodesian_ridgeback
n02088094,0.30755857898715044,0.18911231884057972,-0.11844626014657073,Afghan_hound
n02088238,0.32612526147409865,0.2557390035438816,-0.07038625793021702,basset
n02088364,0.32389101416051774,0.26804473304473303,-0.05584628111578471,beagle
n02088632,0.35072463768115947,0.28252780586450954,-0.06819683181664993,bluetick
n02089867,0.42339181286549704,0.39397055592177543,-0.029421256943721608,Walker_hound
n02090379,0.3419581682996317,0.20063264221158963,-0.14132552608804208,redbone
n02090622,0.3086675736961451,0.24808435374149657,-0.06058321995464855,borzoi
n02091032,0.39701556629092866,0.3483649503161698,-0.04865061597475884,Italian_greyhound
n02091134,0.33591485172880525,0.28897435897435897,-0.046940492754446284,whippet
n02091467,0.34064138143694117,0.2751587301587301,-0.06548265127821107,Norwegian_elkhound
n02091635,0.343140350877193,0.23516705516705522,-0.1079732957101378,otterhound
n02091831,0.3952134859111604,0.3404052149400987,-0.05480827097106172,Saluki
n02092002,0.32523982138166535,0.22959517657192074,-0.0956446448097446,Scottish_deerhound
n02092339,0.2671973823962723,0.21636705746128235,-0.05083032493498993,Weimaraner
n02093256,0.34081774081774086,0.3123273273273273,-0.028490413490413535,Staffordshire_bullterrier
n02093428,0.4157241527241527,0.4153838383838384,-0.000340314340314285,American_Staffordshire_terrier
n02093647,0.2784259259259259,0.235,-0.04342592592592592,Bedlington_terrier
n02093754,0.33175925925925925,0.2831898400131948,-0.04856941924606445,Border_terrier
n02093859,0.3728502415458937,0.27496296296296296,-0.09788727858293073,Kerry_blue_terrier
n02093991,0.3867477930892565,0.35166334440753044,-0.035084448681726055,Irish_terrier
n02094114,0.321134652871495,0.2935087719298246,-0.0276258809416704,Norfolk_terrier
n02094258,0.30921852673072187,0.15916408668730653,-0.15005444004341534,Norwich_terrier
n02095314,0.2988955253013224,0.20663780663780665,-0.09225771866351576,wire-haired_fox_terrier
n02095570,0.40652110249784673,0.3151602104256337,-0.09136089207221304,Lakeland_terrier
n02095889,0.2314630021141649,0.17503506829088225,-0.05642793382328265,Sealyham_terrier
n02096051,0.2564646464646465,0.21173713883016207,-0.04472750763448444,Airedale
n02096177,0.37317813051146387,0.34289926289926287,-0.030278867612201,cairn
n02096437,0.2600493827160494,0.17575661375661375,-0.08429276895943563,Dandie_Dinmont
n02096585,0.26376987797894363,0.21985185185185185,-0.04391802612709178,Boston_bull
n02097130,0.4180511053689348,0.4018774703557312,-0.016173635013203624,giant_schnauzer
n02097209,0.35397197382396267,0.21708725053603828,-0.1368847232879244,standard_schnauzer
n02097298,0.3255183714627843,0.23114480333992532,-0.09437356812285896,Scotch_terrier
n02098105,0.4156117320327846,0.3262121212121212,-0.08939961082066344,soft-coated_wheaten_terrier
n02098286,0.27423167848699764,0.200929866036249,-0.07330181245074865,West_Highland_white_terrier
n02098413,0.3838271604938272,0.37597665207421305,-0.007850508419614155,Lhasa
