wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n02109047,Great_Dane,0.46998775630499773,1.4336861955218652,0.752
n03995372,power_drill,0.46759437662256,1.1412054037462465,0.604
n04133789,sandal,0.4665957159757356,1.4615625975791793,0.776
n04208210,shovel,0.466153426491507,1.4305380327447357,0.756
n04462240,toyshop,0.4647729801229801,1.3259888404993958,0.704
n03089624,confectionery,0.46336535101696386,1.213569915330902,0.6439999999999999
n10148035,groom,0.46313042148379646,1.5240454210116865,0.8119999999999999
n03223299,doormat,0.46235510510510514,1.3534592204175961,0.72
n04081281,restaurant,0.4608221455409862,0.9656171286410586,0.52
n04200800,shoe_shop,0.45742594556380345,1.6332150626459483,0.884
n03938244,pillow,0.4572283959533707,1.6042989494290087,0.8640000000000001
n04136333,sarong,0.45685742561532033,1.380095486462333,0.74
n04376876,syringe,0.4548400900900901,1.3247242603685763,0.712
n07684084,French_loaf,0.45160315040315036,1.3016838667430246,0.716
n02747177,ashcan,0.4514268171915231,1.2599508367296852,0.68
n04548362,wallet,0.4502189312259325,1.225509674712516,0.6599999999999999
n04476259,tray,0.44836383253638157,1.175842500674403,0.648
n04557648,water_bottle,0.4474825123152709,1.1292799366096076,0.624
n02730930,apron,0.4459958485958486,1.453061131911641,0.8
n04116512,rubber_eraser,0.44503127917833807,1.182404241594523,0.6599999999999999
n03661043,library,0.4449941304941305,1.2262634315086887,0.6799999999999999
n03777754,modem,0.44204707419970574,1.262355880954504,0.704
n03843555,oil_filter,0.4418031325399747,1.3020598218335482,0.728
n01698640,American_alligator,0.4415549662520985,1.6572430581397477,0.916
n04325704,stole,0.4408281085055279,1.2492849778813702,0.7
n04550184,wardrobe,0.4396871794871795,1.426989238357494,0.792
n01775062,wolf_spider,0.43867459362196204,1.393319910109188,0.772
n01667114,mud_turtle,0.4372878787878788,1.1445941721362118,0.644
n03871628,packet,0.4346936263736264,0.9429360377480871,0.532
n03014705,chest,0.43465810868635,1.3734886411927327,0.776
n03063599,coffee_mug,0.43464710034469023,1.024719901614604,0.576
n01729322,hognose_snake,0.4341977392977393,1.2010240628025755,0.6839999999999999
n06596364,comic_book,0.4329042525011716,1.3971715400279994,0.792
n03877472,pajama,0.4319213655213655,1.4024239072017122,0.796
n01883070,wombat,0.4279595193056638,1.4390211647898457,0.8320000000000001
n01984695,spiny_lobster,0.424405252030711,1.455289727664836,0.8480000000000001
n04179913,sewing_machine,0.42407515426294334,1.5265239815080878,0.8879999999999999
n01742172,boa_constrictor,0.4109718446927749,1.4105074362290435,0.844
