model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct
resnet101,CNN,velvet,elastic_transform,3,cam,0.6083299959951942,6.081008927069278,0.015278046019375324,False
resnet101,CNN,velvet,elastic_transform,4,cam,0.5060376509412735,16.240201579972634,0.013631254434585571,False
resnet101,CNN,velvet,elastic_transform,5,cam,0.500186776242062,16.039749770614918,0.0024509860668331385,False
resnet101,CNN,velvet,pixelate,1,cam,0.5597049689440994,17.317662330317358,0.0894492045044899,True
resnet101,CNN,velvet,pixelate,2,cam,0.6033216224848291,15.057054024764971,0.1207883208990097,True
resnet101,CNN,velvet,pixelate,3,cam,0.5077338939780748,22.753156486937623,0.0083236088976264,False
resnet101,CNN,velvet,pixelate,4,cam,0.4981720510333507,19.519957375884484,0.0015243447851389647,False
resnet101,CNN,velvet,pixelate,5,cam,0.5658140985651903,21.489669664032693,0.0015333526534959674,False
resnet101,CNN,velvet,jpeg_compression,1,cam,0.5797340885846904,18.50266460492276,0.0017868529539555311,False
resnet101,CNN,velvet,jpeg_compression,2,cam,0.6007653061224489,22.23650135480764,0.0014360982459038496,False
resnet101,CNN,velvet,jpeg_compression,3,cam,0.5439028140858065,31.30832439178995,0.001552871661260724,False
resnet101,CNN,velvet,jpeg_compression,4,cam,0.5069418386491558,27.31259777480475,0.0018816431984305382,False
resnet101,CNN,velvet,jpeg_compression,5,cam,0.47056239015817225,32.78541833242676,0.0008051160257309675,False
resnet101,CNN,patio,gaussian_noise,1,cam,0.6782608695652174,3.6341941128133852,0.0004949623835273087,False
resnet101,CNN,patio,gaussian_noise,2,cam,0.7329133586468761,8.153813975253039,0.0002189534716308117,False
resnet101,CNN,patio,gaussian_noise,3,cam,0.7282589977613225,12.431312639289505,0.0003337736416142434,False
resnet101,CNN,patio,gaussian_noise,4,cam,0.6247369273109924,14.48941598119631,0.00021478495909832418,False
resnet101,CNN,patio,gaussian_noise,5,cam,0.5527191150305562,1.5513842652148009,0.00038717204006388783,False
resnet101,CNN,patio,shot_noise,1,cam,0.7426636568848759,2.4364480748279815,0.0005684740608558059,False
resnet101,CNN,patio,shot_noise,2,cam,0.6522884425419823,1.9949117837312151,0.0005467405426315963,False
resnet101,CNN,patio,shot_noise,3,cam,0.6672481103081651,11.876108061670687,0.0002850016753654927,False
resnet101,CNN,patio,shot_noise,4,cam,0.5964368090352342,3.3684865499871615,0.0001977235806407407,False
resnet101,CNN,patio,shot_noise,5,cam,0.5803480040941658,6.237852207570891,0.0001594659552210942,False
