wnid,compactness,dispersion,margin,n_imgs,model
n02090721,0.25716155767440796,0.03984672372496799,0.2643963098526001,37,resnet101
n02091032,0.2408030778169632,0.035523478449854415,0.45584380626678467,46,resnet101
n02091134,0.2614152729511261,0.037949721403274086,0.4209936857223511,43,resnet101
n02091244,0.2387043535709381,0.041036896317828954,0.4656307101249695,38,resnet101
n02091467,0.21419261395931244,0.031004725174809233,0.5609140396118164,46,resnet101
n02091635,0.2261311113834381,0.04210370032321714,0.4064473509788513,40,resnet101
n02091831,0.268827348947525,0.04245679104283159,0.40411823987960815,42,resnet101
n02092002,0.2136748880147934,0.026442897754787607,0.26439642906188965,45,resnet101
n02092339,0.20894505083560944,0.023115428946462166,0.515744686126709,47,resnet101
n02093256,0.24846935272216797,0.04550856347509146,0.2594020962715149,39,resnet101
n02093428,0.26825544238090515,0.04907540331491818,0.2594020962715149,37,resnet101
n02093647,0.22992493212223053,0.029127852465360777,0.5455238819122314,48,resnet101
n02093754,0.22185754776000977,0.04449753628049555,0.5155609846115112,48,resnet101
n02093859,0.22419413924217224,0.03733771198584994,0.3967936038970947,46,resnet101
n02093991,0.26255112886428833,0.05540254629281406,0.30464357137680054,42,resnet101
n02094114,0.21885712444782257,0.0337046517142945,0.24528980255126953,39,resnet101
n02094258,0.2436394989490509,0.04073548289479777,0.24528974294662476,41,resnet101
n02094433,0.25978153944015503,0.039569962333651086,0.3140808343887329,36,resnet101
n02095314,0.1893025040626526,0.03517236389222118,0.34020113945007324,44,resnet101
n02095570,0.2703417241573334,0.048434001086863514,0.34020113945007324,40,resnet101
n02095889,0.19911323487758636,0.034851550003609,0.4307379722595215,44,resnet101
n02096051,0.17970551550388336,0.028774201196795787,0.45508724451065063,44,resnet101
n02096177,0.24057936668395996,0.04321099275102514,0.38134247064590454,45,resnet101
n02096294,0.3042694330215454,0.053834930245458226,0.3503603935241699,32,resnet101
n02096437,0.23078329861164093,0.036715852474773894,0.43073785305023193,45,resnet101
n02096585,0.21607212722301483,0.034390092672841155,0.34762823581695557,46,resnet101
n02097047,0.221402108669281,0.04093903022169988,0.19682812690734863,34,resnet101
n02097130,0.2651669681072235,0.05816237411434051,0.302825927734375,45,resnet101
n02097209,0.20066118240356445,0.03411000235954906,0.19682812690734863,48,resnet101
n02097298,0.26059937477111816,0.05674092490415368,0.3725540041923523,41,resnet101
n02097474,0.29137691855430603,0.04578371555733646,0.3417278528213501,42,resnet101
n02097658,0.32738685607910156,0.0568715034020008,0.31408071517944336,37,resnet101
n02098105,0.25903382897377014,0.058039736647559126,0.30464357137680054,38,resnet101
n02098286,0.20243175327777863,0.04192343261566303,0.4743688702583313,47,resnet101
n02098413,0.23761191964149475,0.043397754969419916,0.1961858868598938,39,resnet101
n02099267,0.2160976529121399,0.049956564940486455,0.37913763523101807,42,resnet101
n02099429,0.22025027871131897,0.03560657726570038,0.37913763523101807,44,resnet101
n02099601,0.22871224582195282,0.0549234688360616,0.37627899646759033,46,resnet101
n02099712,0.26787933707237244,0.0650422273246786,0.37627899646759033,42,resnet101
n02099849,0.24337223172187805,0.04309430126676384,0.41993480920791626,47,resnet101
n02100236,0.23833125829696655,0.04201917969091741,0.4907118082046509,45,resnet101
n02100583,0.23490604758262634,0.04032710651299115,0.25747406482696533,45,resnet101
n02100735,0.27602508664131165,0.04865892185584266,0.3504822254180908,45,resnet101
n02100877,0.17077142000198364,0.029041815034671833,0.3466651439666748,42,resnet101
n02101006,0.20239590108394623,0.04253919122977569,0.3466651439666748,45,resnet101
n02101388,0.22524766623973846,0.04433196843810823,0.35048234462738037,47,resnet101
n02101556,0.17226983606815338,0.028472247744184682,0.5090960264205933,48,resnet101
n02102040,0.23174792528152466,0.05487132695895889,0.3568984270095825,47,resnet101
n02102177,0.18495185673236847,0.02882574400806171,0.37193363904953003,47,resnet101
n02102318,0.23726296424865723,0.0399946857487279,0.46534186601638794,40,resnet101
n02102480,0.19697144627571106,0.040690926097658425,0.46534186601638794,35,resnet101
n02102973,0.17936556041240692,0.02790172683141596,0.4305179715156555,45,resnet101
n02104029,0.2166401892900467,0.03303198065795707,0.2279186248779297,41,resnet101
n02104365,0.2512551248073578,0.04977186006126315,0.4819246530532837,46,resnet101
n02105056,0.23979882895946503,0.04591727740305493,0.48192447423934937,43,resnet101
n02105162,0.19902639091014862,0.027847296167812632,0.4429142475128174,47,resnet101
n02105251,0.26770690083503723,0.043639096492933245,0.3603297472000122,32,resnet101
n02105412,0.28310441970825195,0.052528957216262606,0.4191197156906128,38,resnet101
n02105505,0.21961519122123718,0.0294721719875667,0.62116539478302,47,resnet101
n02105641,0.21323102712631226,0.0362208355558081,0.5560314655303955,49,resnet101
n02105855,0.25645002722740173,0.045088439404965056,0.25218504667282104,42,resnet101
n02106030,0.16033823788166046,0.020843551522423925,0.2521851062774658,30,resnet101
n02106166,0.2593032121658325,0.05204298102844493,0.4707760810852051,43,resnet101
n02106382,0.24283012747764587,0.04544922922785799,0.36032962799072266,44,resnet101
n02106550,0.22393295168876648,0.04869990449681859,0.40591126680374146,49,resnet101
n02106662,0.20958200097084045,0.03066414831213969,0.44291436672210693,43,resnet101
n02107142,0.219401016831398,0.045911030397154017,0.3130750060081482,45,resnet101
n02107312,0.2429732233285904,0.046388673028844835,0.3392963409423828,43,resnet101
n02107574,0.24436481297016144,0.03801382259912277,0.1651451587677002,41,resnet101
n02107683,0.19000303745269775,0.029276904758162144,0.4419363737106323,49,resnet101
n02107908,0.23117181658744812,0.03893508068357132,0.16514503955841064,17,resnet101
n02108000,0.19325046241283417,0.023159673028016546,0.22439956665039062,40,resnet101
n02108089,0.23007559776306152,0.0407331094114083,0.2721143960952759,39,resnet101
n02108422,0.18466101586818695,0.03433475766510248,0.27211445569992065,46,resnet101
n02108551,0.1622582972049713,0.018933137508571438,0.533822774887085,46,resnet101
n02108915,0.20608104765415192,0.033724324341997375,0.347628116607666,47,resnet101
n02109047,0.3077683746814728,0.054039517016904445,0.3667415380477905,38,resnet101
n02109525,0.18409526348114014,0.03742782220346948,0.4668818712234497,48,resnet101
n02109961,0.22360841929912567,0.028420159715186168,0.0931665301322937,25,resnet101
n02110063,0.20493042469024658,0.02818796913971756,0.28056764602661133,40,resnet101
n02110185,0.25230711698532104,0.03340868752968724,0.09316658973693848,34,resnet101
n02110341,0.15837587416172028,0.0205340005256728,0.6699222326278687,48,resnet101
n02110627,0.1985410898923874,0.03478072754829516,0.4687739610671997,43,resnet101
n02110806,0.23671729862689972,0.039387622455019,0.4656307101249695,48,resnet101
n02110958,0.22056052088737488,0.04899240687512571,0.4973521828651428,49,resnet101
n02111129,0.12012892961502075,0.015588735873644684,0.6436508893966675,50,resnet101
n02111277,0.22740870714187622,0.04981702996019823,0.4668819308280945,45,resnet101
n02111500,0.23355641961097717,0.04805192682039591,0.22791844606399536,41,resnet101
n02111889,0.18247903883457184,0.02689356834279467,0.5742281675338745,49,resnet101
n02112018,0.1755940169095993,0.025887484709373083,0.4473411440849304,49,resnet101
n02112137,0.19116775691509247,0.026201673719510293,0.5879404544830322,47,resnet101
n02112350,0.1470804065465927,0.024620978563146656,0.4473409652709961,46,resnet101
n02112706,0.22973644733428955,0.04311470754626322,0.46877390146255493,50,resnet101
n02113023,0.24915219843387604,0.04437468608876978,0.19063639640808105,47,resnet101
n02113186,0.26936960220336914,0.04856127940649431,0.19063663482666016,41,resnet101
n02113624,0.2713039815425873,0.04706435101471582,0.06807887554168701,33,resnet101
n02113712,0.24545429646968842,0.037073614396154,0.06807911396026611,32,resnet101
n02113799,0.24542607367038727,0.03364942331063066,0.3116878867149353,46,resnet101
n02113978,0.23460929095745087,0.03033283878514994,0.5681882500648499,49,resnet101
n02114367,0.18913888931274414,0.024387992611909444,0.31655049324035645,40,resnet101
n02114548,0.16947022080421448,0.021658498644337047,0.3165503740310669,45,resnet101
n02114712,0.2786741852760315,0.030278698026361538,0.3711182475090027,32,resnet101
n02114855,0.18870675563812256,0.021516788848142725,0.3835446834564209,36,resnet101
n02115641,0.25079473853111267,0.0363928275376571,0.5207438468933105,41,resnet101
n02115913,0.16298897564411163,0.01823645016804048,0.6169819235801697,46,resnet101
n02116738,0.13414159417152405,0.011393985698643356,0.5007145404815674,50,resnet101
n02117135,0.16650818288326263,0.019178685943765365,0.5007146596908569,47,resnet101
