model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,rollout,n03899768,patio,0,1538,glass_blur,blur,4,0.005413006525486708,0.00016471827984787524,0.0052482882456388324,0,0,0.5482875655661833,0.7547464495466374,12.958922441754803,2.6878017347416643,3.1269266010389263,0.439124866297262,ViT
vit_b_16,cam,n03899768,patio,0,1538,glass_blur,blur,4,0.005413006525486708,0.00016471827984787524,0.0052482882456388324,0,0,0.23194009697416068,0.3032562116524871,33.41856154274553,2.957437367047879,3.299924598950346,0.3424872319024672,ViT
vit_b_16,ig,n03899768,patio,0,1538,glass_blur,blur,4,0.005413006525486708,0.00016471827984787524,0.0052482882456388324,0,0,0.2654939789420591,0.3773079226668273,1.1693211374725083,1.657749711324688,2.509788158648575,0.8520384473238871,ViT
vit_b_16,rollout,n03899768,patio,0,1538,glass_blur,blur,5,0.005413006525486708,0.00013317370030563325,0.0052798328251810744,0,0,0.48927962014986276,0.607889682221375,12.711440599102263,2.6878017347416643,3.9059328924530563,1.218131157711392,ViT
vit_b_16,cam,n03899768,patio,0,1538,glass_blur,blur,5,0.005413006525486708,0.00013317370030563325,0.0052798328251810744,0,0,0.23878294143059928,0.25068944643326907,26.12499300642728,2.957437367047879,2.866612160188737,-0.09082520685914197,ViT
vit_b_16,ig,n03899768,patio,0,1538,glass_blur,blur,5,0.005413006525486708,0.00013317370030563325,0.0052798328251810744,0,0,0.23756088538134287,0.3056131089161085,4.774767375486401,1.657749711324688,2.3432944731837293,0.6855447618590413,ViT
vit_b_16,rollout,n03899768,patio,0,1538,motion_blur,blur,1,0.005413006525486708,0.0006536018918268383,0.004759404633659869,0,0,0.7942254402431393,0.9366723452788935,4.549036431401161,2.6878017347416643,3.2816073853837735,0.5938056506421092,ViT
vit_b_16,cam,n03899768,patio,0,1538,motion_blur,blur,1,0.005413006525486708,0.0006536018918268383,0.004759404633659869,0,0,0.41180194120129415,0.6433865571225211,12.410623185057522,2.957437367047879,1.7039064740113445,-1.2535308930365343,ViT
vit_b_16,ig,n03899768,patio,0,1538,motion_blur,blur,1,0.005413006525486708,0.0006536018918268383,0.004759404633659869,0,0,0.37696370995403716,0.597910663447273,3.7349786636854536,1.657749711324688,2.102599671098151,0.444849959773463,ViT
vit_b_16,rollout,n03899768,patio,0,1538,motion_blur,blur,2,0.005413006525486708,0.00042996127740480006,0.004983045248081908,0,0,0.5599502680860984,0.7521649324290457,8.865237553821423,2.6878017347416643,3.0245865946088415,0.3367848598671772,ViT
vit_b_16,cam,n03899768,patio,0,1538,motion_blur,blur,2,0.005413006525486708,0.00042996127740480006,0.004983045248081908,0,0,0.26996077438947236,0.41883135281158834,12.340599375313866,2.957437367047879,2.025342393062416,-0.9320949739854627,ViT
vit_b_16,ig,n03899768,patio,0,1538,motion_blur,blur,2,0.005413006525486708,0.00042996127740480006,0.004983045248081908,0,0,0.3250594137839979,0.4773196744757828,3.525168638572434,1.657749711324688,1.4655404954169104,-0.1922092159077775,ViT
vit_b_16,rollout,n03899768,patio,0,1538,motion_blur,blur,3,0.005413006525486708,0.0002694371505640447,0.005143569374922663,0,0,0.4632937231172997,0.5735261003743484,11.994209494453766,2.6878017347416643,3.0697748114224828,0.3819730766808185,ViT
vit_b_16,cam,n03899768,patio,0,1538,motion_blur,blur,3,0.005413006525486708,0.0002694371505640447,0.005143569374922663,0,0,0.289145793192036,0.395603028928703,11.451987625386458,2.957437367047879,1.567062957091817,-1.3903744099560618,ViT
vit_b_16,ig,n03899768,patio,0,1538,motion_blur,blur,3,0.005413006525486708,0.0002694371505640447,0.005143569374922663,0,0,0.300589645564699,0.3978290648861615,7.8250082168152515,1.657749711324688,2.1100299583816255,0.4522802470569376,ViT
vit_b_16,rollout,n03899768,patio,0,1538,motion_blur,blur,4,0.005413006525486708,0.0006443187012337148,0.004768687824252993,0,0,0.43998852141473566,0.5273528222691145,12.147872417357382,2.6878017347416643,4.234644794448268,1.546843059706604,ViT
vit_b_16,cam,n03899768,patio,0,1538,motion_blur,blur,4,0.005413006525486708,0.0006443187012337148,0.004768687824252993,0,0,0.2192188544007775,0.3641614128158175,27.703388563083674,2.957437367047879,2.3962623858758385,-0.5611749811720403,ViT
vit_b_16,ig,n03899768,patio,0,1538,motion_blur,blur,4,0.005413006525486708,0.0006443187012337148,0.004768687824252993,0,0,0.2653344260228204,0.40389935738540456,4.559784775084682,1.657749711324688,2.5380020217558785,0.8802523104311906,ViT
vit_b_16,rollout,n03899768,patio,0,1538,motion_blur,blur,5,0.005413006525486708,0.0006845170282758772,0.0047284894972108305,0,0,0.37432386169120163,0.43891999594400544,13.827866441908824,2.6878017347416643,4.242325726626202,1.5545239918845377,ViT
vit_b_16,cam,n03899768,patio,0,1538,motion_blur,blur,5,0.005413006525486708,0.0006845170282758772,0.0047284894972108305,0,0,0.15402748232047375,0.15774088547515994,39.20263645377406,2.957437367047879,3.0083860972718073,0.05094873022392843,ViT
