wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n04409515,tennis_ball,0.17811949821719864,0.5731837311452216,0.86
n01806143,peacock,0.17962558094982084,0.6679087657928221,0.9533333333333333
n02280649,cabbage_butterfly,0.18030226667700497,0.6772058183716819,0.96
n03662601,lifeboat,0.1813122174743068,0.6503604217973209,0.9533333333333333
n02276258,admiral,0.18134386372435152,0.700306604852865,1.0
n07584110,consomme,0.18220668028066087,0.4162188132985863,0.6266666666666666
n02009912,American_egret,0.18224042481897265,0.6612783540875884,0.9333333333333332
n03929660,pick,0.18243645644449566,0.5738086680261093,0.8066666666666666
n02111129,Leonberg,0.18475654596100277,0.6915740653266756,1.0
n03026506,Christmas_stocking,0.1854194318314123,0.6903479997208279,0.96
n02342885,hamster,0.18545597081538404,0.7157703880775811,1.0
n04146614,school_bus,0.18632279876153157,0.6812696719064881,0.9666666666666667
n07742313,Granny_Smith,0.1867040033846317,0.6331998046193806,0.8933333333333334
n02389026,sorrel,0.18706177060702114,0.6925151458436751,0.98
n04579145,whiskey_jug,0.18802504539746764,0.4599471691519952,0.6533333333333333
n12998815,agaric,0.18821867770607573,0.6223042057679314,0.86
n02018795,bustard,0.1883718373140971,0.7056307070394544,0.9666666666666667
n02108551,Tibetan_mastiff,0.18975637213312357,0.6675348076577645,0.9199999999999999
n02817516,bearskin,0.1898278489695021,0.6837165267569456,0.9533333333333333
n02326432,hare,0.1898795150531997,0.6762906750868879,0.9266666666666666
n02115913,dhole,0.19050197624215617,0.6650538754487434,0.9266666666666667
n02007558,flamingo,0.19107364586001765,0.7193804936955872,0.9866666666666667
n03857828,oscilloscope,0.1917563272442722,0.6961315142547765,0.9466666666666667
n01514668,cock,0.19432836985324756,0.5566499031406713,0.7466666666666667
n02510455,giant_panda,0.19457406457306695,0.7159191546600332,0.9666666666666667
n02107683,Bernese_mountain_dog,0.19641429923905382,0.7499696448097662,0.98
n02129604,tiger,0.19698043142628693,0.7139043564700615,0.9533333333333333
n01833805,hummingbird,0.1981296969049399,0.743289322049015,0.9666666666666667
n02281787,lycaenid,0.20039550126138891,0.7278405326107088,0.96
n02119022,red_fox,0.20189664841151686,0.49879501054192604,0.6466666666666666
n01631663,eft,0.20204743560038893,0.5762279394144566,0.7533333333333333
n02259212,leafhopper,0.20210551712142386,0.7115745090201123,0.9133333333333334
n04254680,soccer_ball,0.20392376842995893,0.7520561455668924,0.9466666666666667
n04019541,puck,0.2047955755627452,0.7401113218945485,0.9333333333333332
n02002724,black_stork,0.2053150546584773,0.7218763162569909,0.9066666666666666
n01798484,prairie_chicken,0.20554925344192354,0.7545740683455741,0.96
n01629819,European_fire_salamander,0.20564838946356243,0.7739499478794237,0.9733333333333333
n02130308,cheetah,0.20585492795325136,0.7645202318754344,0.9666666666666667
n03393912,freight_car,0.20634578764282718,0.7913798733676009,0.9933333333333333
n02417914,ibex,0.20818636646048763,0.7793583687191902,0.9733333333333333
n12620546,hip,0.2092735833998404,0.7916142638594036,0.9866666666666667
n02101556,clumber,0.20981782662689422,0.7611264211624511,0.9533333333333333
n02930766,cab,0.2099242865555715,0.6431188865679386,0.7866666666666667
n01871265,tusker,0.21053281412716587,0.601943350336451,0.7466666666666667
n02095889,Sealyham_terrier,0.21204219228692625,0.7120806184313283,0.8666666666666667
n02277742,ringlet,0.2121319721296829,0.7933987754092385,0.96
n02643566,lionfish,0.2123316674415,0.7966383692867579,0.96
n02445715,skunk,0.212853242026157,0.7838651765772869,0.9533333333333333
n02086910,papillon,0.21285724765983818,0.7731182233255409,0.9466666666666667
n02264363,lacewing,0.21287949096058187,0.6966262456554637,0.8466666666666667
n03599486,jinrikisha,0.21313469229968618,0.7714764313934107,0.94
n12985857,coral_fungus,0.21363453557523637,0.803916296602047,0.98
n02056570,king_penguin,0.2139595824373015,0.8054896723573598,0.98
