model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,backpack,fog,4,cam,0.551638837353123,14.26117825869385,0.04991788789629936,False,0.02600969304330647,0.024790596216917038,0.2899487269046208,0.06916941702365875,0.07580035924911499
resnet101,CNN,backpack,fog,5,cam,0.46126965637740247,21.400446613135674,0.00810061302036047,False,0.027319544809870422,0.023328077979385853,0.0465531589378303,0.05937345325946808,0.2167935073375702
resnet101,CNN,backpack,brightness,1,cam,0.8525149976926627,4.157695217616942,0.6165942549705505,True,0.00799885019659996,0.0018495582044124603,0.06762792156127606,0.0025425702333450317,0.07790672779083252
resnet101,CNN,backpack,brightness,2,cam,0.8235668211138366,5.3668995864706694,0.471465528011322,True,0.013509211130440235,0.003620896488428116,0.13908746975200348,0.002769455313682556,0.15664589405059814
resnet101,CNN,backpack,brightness,3,cam,0.8302798286391395,4.432323753011222,0.29683542251586914,True,0.017135045491158962,0.004857901483774185,0.18528858166617024,0.0017954856157302856,0.2311907410621643
resnet101,CNN,backpack,brightness,4,cam,0.7773842203134685,6.241305286082718,0.2577768862247467,True,0.019545034505426884,0.0058036744594573975,0.18378125741090212,0.010045766830444336,0.3025899827480316
resnet101,CNN,backpack,brightness,5,cam,0.6884253028263796,10.917774996685598,0.14456947147846222,True,0.021012947894632816,0.006381921470165253,0.15013763407442138,0.020420804619789124,0.36757799983024597
resnet101,CNN,backpack,contrast,1,cam,0.8419748554648069,4.096400283576868,0.5345188975334167,True,0.021468400489538908,0.022278878837823868,1.2990431284274275,0.12091856449842453,0.002188056707382202
resnet101,CNN,backpack,contrast,2,cam,0.8115523465703971,5.207689429366646,0.4952341616153717,True,0.024297326803207397,0.025987383909523487,1.6885719812373607,0.1410604789853096,0.0019315779209136963
resnet101,CNN,backpack,contrast,3,cam,0.7833851621501555,6.699933171437093,0.3685176372528076,True,0.026465055532753468,0.029678534250706434,2.256525960823564,0.16121702268719673,0.002064347267150879
