wnid,mean_drift,spillover_rate,n_par,model
n02268443,0.33751970529556274,0.325,40,vit_b_32
n02268853,0.22719530761241913,0.1,40,vit_b_32
n02276258,0.23056486248970032,0.025,40,vit_b_32
n02277742,0.28213706612586975,0.25,40,vit_b_32
n02279972,0.20043615996837616,0.025,40,vit_b_32
n02280649,0.28687694668769836,0.1,40,vit_b_32
n02281406,0.22668440639972687,0.025,40,vit_b_32
n02281787,0.2810817360877991,0.15,40,vit_b_32
n02317335,0.33059409260749817,0.225,40,vit_b_32
n02319095,0.35150715708732605,0.3,40,vit_b_32
n02321529,0.3782285749912262,0.325,40,vit_b_32
n02325366,0.23107457160949707,0.1,40,vit_b_32
n02326432,0.29516300559043884,0.25,40,vit_b_32
n02328150,0.31121546030044556,0.175,40,vit_b_32
n02342885,0.31155943870544434,0.2,40,vit_b_32
n02346627,0.32855096459388733,0.225,40,vit_b_32
n02356798,0.29279693961143494,0.225,40,vit_b_32
n02361337,0.40286985039711,0.3,40,vit_b_32
n02363005,0.31328532099723816,0.25,40,vit_b_32
n02364673,0.3207077085971832,0.025,40,vit_b_32
n02389026,0.2713228166103363,0.025,40,vit_b_32
n02391049,0.22747032344341278,0.025,40,vit_b_32
n02395406,0.40779900550842285,0.275,40,vit_b_32
n02396427,0.2806049883365631,0.2,40,vit_b_32
n02397096,0.33587634563446045,0.275,40,vit_b_32
n02398521,0.4861922264099121,0.4,40,vit_b_32
n02403003,0.39160484075546265,0.5,40,vit_b_32
n02408429,0.3493069112300873,0.225,40,vit_b_32
n02410509,0.3522490859031677,0.2,40,vit_b_32
n02412080,0.2559140920639038,0.25,40,vit_b_32
n02415577,0.33936986327171326,0.15,40,vit_b_32
n02417914,0.30648985505104065,0.125,40,vit_b_32
n02422106,0.28792935609817505,0.1,40,vit_b_32
n02422699,0.3826782703399658,0.325,40,vit_b_32
n02423022,0.22597019374370575,0.125,40,vit_b_32
n02437312,0.3598731458187103,0.175,40,vit_b_32
n02437616,0.3603397607803345,0.2,40,vit_b_32
n02441942,0.28959202766418457,0.075,40,vit_b_32
n02442845,0.39016643166542053,0.25,40,vit_b_32
n02443114,0.24112097918987274,0.025,40,vit_b_32
n02443484,0.36799389123916626,0.2,40,vit_b_32
n02444819,0.30318325757980347,0.075,40,vit_b_32
n02445715,0.335999459028244,0.2,40,vit_b_32
n02447366,0.28256139159202576,0.1,40,vit_b_32
n02454379,0.2780262529850006,0.075,40,vit_b_32
n02457408,0.343997061252594,0.2,40,vit_b_32
n02480495,0.313293993473053,0.125,40,vit_b_32
n02480855,0.26428693532943726,0.05,40,vit_b_32
n02481823,0.3439072072505951,0.2,40,vit_b_32
n02483362,0.2558693289756775,0.125,40,vit_b_32
n02483708,0.3395772874355316,0.275,40,vit_b_32
n02484975,0.38424333930015564,0.3,40,vit_b_32
n02486261,0.2415585070848465,0.125,40,vit_b_32
n02486410,0.3213910162448883,0.175,40,vit_b_32
n02487347,0.3100699484348297,0.125,40,vit_b_32
n02488291,0.2728493809700012,0.075,40,vit_b_32
n02488702,0.26308393478393555,0.1,40,vit_b_32
n02489166,0.28258782625198364,0.075,40,vit_b_32
n02490219,0.27990108728408813,0.15,40,vit_b_32
n02492035,0.26652440428733826,0.025,40,vit_b_32
n02492660,0.23647813498973846,0.1,40,vit_b_32
n02493509,0.30862584710121155,0.3,40,vit_b_32
n02493793,0.27664676308631897,0.1,40,vit_b_32
n02494079,0.24311316013336182,0.05,40,vit_b_32
n02497673,0.3319128453731537,0.15,40,vit_b_32
n02500267,0.2816597521305084,0.175,40,vit_b_32
n02504013,0.33868294954299927,0.275,40,vit_b_32
n02504458,0.3034757673740387,0.175,40,vit_b_32
n02509815,0.17071597278118134,0.025,40,vit_b_32
n02510455,0.2552361488342285,0.125,40,vit_b_32
n02514041,0.3760863244533539,0.275,40,vit_b_32
n02526121,0.3584993779659271,0.4,40,vit_b_32
n02536864,0.38620153069496155,0.35,40,vit_b_32
n02606052,0.2440273016691208,0.025,40,vit_b_32
n02607072,0.22842852771282196,0.125,40,vit_b_32
n02640242,0.42625150084495544,0.4,40,vit_b_32
n02641379,0.40204524993896484,0.4,40,vit_b_32
n02643566,0.2052932232618332,0.025,40,vit_b_32
n02655020,0.3525620400905609,0.25,40,vit_b_32
n02666196,0.22711201012134552,0.05,40,vit_b_32
n02667093,0.3202362656593323,0.3,40,vit_b_32
n02669723,0.27113908529281616,0.3,40,vit_b_32
n02672831,0.26216885447502136,0.125,40,vit_b_32
n02676566,0.2798632085323334,0.15,40,vit_b_32
n02687172,0.3740217089653015,0.325,40,vit_b_32
n02690373,0.35487061738967896,0.275,40,vit_b_32
n02692877,0.37853163480758667,0.225,40,vit_b_32
n02699494,0.3698451519012451,0.275,40,vit_b_32
n02701002,0.19859863817691803,0.025,40,vit_b_32
n02704792,0.425523042678833,0.5,40,vit_b_32
n02708093,0.20154932141304016,0.175,40,vit_b_32
n02727426,0.39238423109054565,0.15,40,vit_b_32
n02730930,0.37478023767471313,0.25,40,vit_b_32
n02747177,0.4109993875026703,0.475,40,vit_b_32
n02749479,0.34309911727905273,0.35,40,vit_b_32
n02769748,0.41151905059814453,0.475,40,vit_b_32
n02776631,0.31857532262802124,0.5,40,vit_b_32
n02777292,0.2852211594581604,0.05,40,vit_b_32
n02782093,0.2627652585506439,0.15,40,vit_b_32
n02783161,0.30788347125053406,0.25,40,vit_b_32
n02786058,0.3278452455997467,0.175,40,vit_b_32
n02787622,0.3250564932823181,0.225,40,vit_b_32
n02788148,0.38997510075569153,0.275,40,vit_b_32
n02790996,0.3683757483959198,0.475,40,vit_b_32
n02791124,0.33691394329071045,0.175,40,vit_b_32
n02791270,0.33847466111183167,0.275,40,vit_b_32
n02793495,0.3101595342159271,0.125,40,vit_b_32
n02794156,0.2704280912876129,0.175,40,vit_b_32
n02795169,0.3052404522895813,0.05,40,vit_b_32
n02797295,0.34900227189064026,0.225,40,vit_b_32
n02799071,0.24290327727794647,0.225,40,vit_b_32
n02802426,0.333120733499527,0.05,40,vit_b_32
n02804414,0.3735436797142029,0.375,40,vit_b_32
n02804610,0.3222869634628296,0.225,40,vit_b_32
n02807133,0.32554444670677185,0.125,40,vit_b_32
n02808304,0.3719896376132965,0.525,40,vit_b_32
n02808440,0.37874841690063477,0.55,40,vit_b_32
n02814533,0.3380739092826843,0.475,40,vit_b_32
n02814860,0.26632946729660034,0.075,40,vit_b_32
n02815834,0.372839093208313,0.325,40,vit_b_32
n02817516,0.24109402298927307,0.05,40,vit_b_32
n02823428,0.3204326629638672,0.225,40,vit_b_32
n02823750,0.32061630487442017,0.225,40,vit_b_32
n02825657,0.3297852575778961,0.575,40,vit_b_32
n02834397,0.324543297290802,0.275,40,vit_b_32
n02835271,0.3050920367240906,0.175,40,vit_b_32
n02837789,0.35718363523483276,0.2,40,vit_b_32
n02840245,0.31297844648361206,0.275,40,vit_b_32
n02841315,0.35103780031204224,0.3,40,vit_b_32
n02843684,0.32228952646255493,0.175,40,vit_b_32
n02859443,0.37614578008651733,0.35,40,vit_b_32
n02860847,0.38447779417037964,0.35,40,vit_b_32
n02865351,0.22901315987110138,0.175,40,vit_b_32
n02869837,0.30505654215812683,0.275,40,vit_b_32
n02870880,0.2794593274593353,0.125,40,vit_b_32
n02871525,0.30523598194122314,0.375,40,vit_b_32
n02877765,0.3075624406337738,0.4,40,vit_b_32
n02879718,0.3571077883243561,0.2,40,vit_b_32
n02883205,0.2660793364048004,0.15,40,vit_b_32
n02892201,0.38477325439453125,0.225,40,vit_b_32
n02892767,0.30325156450271606,0.15,40,vit_b_32
n02894605,0.395865261554718,0.35,40,vit_b_32
n02895154,0.3808811902999878,0.275,40,vit_b_32
n02906734,0.4101218581199646,0.475,40,vit_b_32
n02909870,0.3421153128147125,0.25,40,vit_b_32
n02910353,0.3460352420806885,0.35,40,vit_b_32
n02916936,0.38885754346847534,0.3,40,vit_b_32
n02917067,0.3080586791038513,0.125,40,vit_b_32
n02927161,0.36424311995506287,0.225,40,vit_b_32
n02930766,0.28520479798316956,0.2,40,vit_b_32
n02939185,0.37455934286117554,0.35,40,vit_b_32
n02948072,0.3449762463569641,0.175,40,vit_b_32
n02950826,0.32954245805740356,0.125,40,vit_b_32
n02951358,0.30640366673469543,0.275,40,vit_b_32
n02951585,0.36596745252609253,0.2,40,vit_b_32
n02963159,0.3668585419654846,0.25,40,vit_b_32
n02965783,0.26941782236099243,0.025,40,vit_b_32
n02966193,0.359900563955307,0.1,40,vit_b_32
n02966687,0.33477655053138733,0.3,40,vit_b_32
n02971356,0.3664475381374359,0.35,40,vit_b_32
n02974003,0.2516240179538727,0.175,40,vit_b_32
n02977058,0.3547642230987549,0.2,40,vit_b_32
n02978881,0.30876487493515015,0.3,40,vit_b_32
n02979186,0.3154725730419159,0.325,40,vit_b_32
n02980441,0.37964266538619995,0.175,40,vit_b_32
n02981792,0.37686067819595337,0.475,40,vit_b_32
n02988304,0.2775176763534546,0.375,40,vit_b_32
n02992211,0.28937217593193054,0.2,40,vit_b_32
n02992529,0.22145220637321472,0.225,40,vit_b_32
n02999410,0.37113624811172485,0.425,40,vit_b_32
n03000134,0.3152081072330475,0.325,40,vit_b_32
n03000247,0.41065892577171326,0.375,40,vit_b_32
n03000684,0.281141996383667,0.175,40,vit_b_32
n03014705,0.41808146238327026,0.6,40,vit_b_32
n03016953,0.2638320326805115,0.15,40,vit_b_32
n03017168,0.27186059951782227,0.15,40,vit_b_32
n03018349,0.3833877146244049,0.225,40,vit_b_32
n03026506,0.3005062937736511,0.075,40,vit_b_32
n03028079,0.2972469627857208,0.15,40,vit_b_32
n03032252,0.3972913324832916,0.325,40,vit_b_32
n03041632,0.4055103361606598,0.3,40,vit_b_32
n03042490,0.45407795906066895,0.225,40,vit_b_32
n03045698,0.3374893069267273,0.175,40,vit_b_32
n03047690,0.32848528027534485,0.275,40,vit_b_32
n03062245,0.301029771566391,0.275,40,vit_b_32
n03063599,0.30998867750167847,0.325,40,vit_b_32
n03063689,0.2923780679702759,0.325,40,vit_b_32
n03065424,0.283019095659256,0.2,40,vit_b_32
n03075370,0.18228968977928162,0.025,40,vit_b_32
n03085013,0.2420261651277542,0.075,40,vit_b_32
n03089624,0.3651832640171051,0.2,40,vit_b_32
n03095699,0.36182790994644165,0.125,40,vit_b_32
n03100240,0.2808360159397125,0.275,40,vit_b_32
n03109150,0.33048734068870544,0.225,40,vit_b_32
n03110669,0.33712536096572876,0.175,40,vit_b_32
n03124043,0.3698102831840515,0.3,40,vit_b_32
n03124170,0.3676203489303589,0.375,40,vit_b_32
n03125729,0.40458860993385315,0.3,40,vit_b_32
