wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n02101556,clumber,0.1941394799054373,0.7183757614705694,0.9480000000000001
n03393912,freight_car,0.19597492063492064,0.7664740637163838,0.9879999999999999
n02130308,cheetah,0.1963616780045351,0.7453153163237133,0.9640000000000001
n02483362,gibbon,0.2003031831217878,0.637079341198971,0.812
n01833805,hummingbird,0.20108956916099766,0.7699562478923785,0.9640000000000001
n04254680,soccer_ball,0.20197739224638916,0.758988104215475,0.9400000000000001
n01629819,European_fire_salamander,0.2033573893325446,0.7767083349381776,0.9640000000000001
n12620546,hip,0.20756897959183673,0.8155383290447205,0.992
n02930766,cab,0.20817081509276636,0.6566805390196039,0.792
n02071294,killer_whale,0.20988693877551018,0.8204686191845549,0.984
